video_id,classification
rBNChsUJ128,"The thumbnail of the video is misleading. The actual content of the video is a post-day interview with an England cricket player at Lord's Cricket Ground, focusing on his thoughts and experiences after a significant day of Test cricket. The thumbnail suggests that the video is about a cricket player's records and achievements, which is not the main topic of the video. The video uses actual footage from the interview and provides insights into the player's perspective on the game, making it more informative and engaging than the thumbnail suggests."
8Irv0hET_-o,"The thumbnail of the video is misleading. The image shows a woman in a dark suit leaning over a man who is collapsing at a podium. However, the actual video content depicts a press conference where a military officer collapses, and the people around him rush to help. The thumbnail's content does not accurately represent the video's main topic or content. It uses an exaggerated and dramatic scene to attract viewers, which is a common tactic for clickbait or misleading thumbnails."
ieliCUgYb3w,"The thumbnail of the video is misleading. The image shows a soccer player with the number 10 on his jersey, which suggests that the video might be about a star player or a crucial moment in the game. However, the actual content of the video is a compilation of various scenes from a soccer match between England and Slovenia, without focusing on any specific player or moment. The thumbnail's focus on the number 10 player creates an expectation of a more personalized story or highlights, but the video does not deliver on that promise."
erbk87CRLeA,"The thumbnail of the video is misleading. The thumbnail shows a man in a white robe holding a red flag, which suggests a religious or ceremonial context. However, the actual content of the video is a papal visit to a Pacific island nation, with a diverse crowd of people gathered to celebrate the event. The man in the white robe is Pope Francis, and the red flag is a banner for the ""Wewak Diocese"" mentioning his visit in 2024. The video captures the excitement and joy of the crowd, as well as the significance of the papal visit, which is not accurately represented by the thumbnail."
QJyeOWZkuAI,"The thumbnail for the video is misleading. The thumbnail shows a man with a beard, which is not an accurate representation of the video's content. The actual video features two different men, one with a beard and the other clean-shaven, both discussing the movie ""Knight of Cups."" The thumbnail's focus on the bearded man creates a misleading impression about the video's content, as it does not accurately represent the interview with the two men."
xVJ4DGd_ohc,"The thumbnail of the video is misleading. The image shows a woman standing in front of a crowd, but the actual content of the video is a news report covering a significant event in London, likely related to the British monarchy. The video does not focus on the woman in the thumbnail, but rather on the various locations, events, and people in London. The thumbnail's content does not accurately represent the video's main topic or content."
dhe73UMqREI,"The thumbnail of the video is misleading. The thumbnail shows a picture of Taylor Swift with the words ""Prince William Grooves!"" which suggests that Prince William is actively participating in the music or dancing. However, the actual video content does not show Prince William actively participating in the music or dancing. Instead, the video features Taylor Swift's concert in London, her connection to the British royal family, and her music being performed during a ceremony at Buckingham Palace. The thumbnail's title is misleading and exaggerated, as it implies a direct involvement of Prince William in the music, which is not the case in the actual video."
OBXajYNKhbA,"The thumbnail of the video is misleading. The image shows a man on a motorcycle with an Olympic flag, which suggests that the video is about an Olympic event or athlete. However, the actual content of the video is a promotional piece for the 2028 Los Angeles Olympics, showcasing a daring journey across iconic locations in Paris and Los Angeles. The motorcyclist riding up the ramp into the aircraft and the skydive with the Olympic flag are not related to the Olympic Games. The video's content is more focused on adventure and excitement rather than an Olympic event."
RpkbKSKhXTY,"The thumbnail of the video is misleading. The image shows a young boy sitting on an older man's lap, but the actual content of the video is a compilation of heartwarming moments during a royal celebration, likely the Jubilee. The video features several adults and children seated in stadium-style seating, and it captures tender moments between the young prince and his family members. The focus of the video is on the celebration and the interactions between the people, rather than just the boy sitting on the older man's lap."
BBp36xDZpZ4,"The thumbnail of the video is misleading as it does not accurately represent the main topic or content of the video. The video is about a football match between Manchester United and Celtic, but the thumbnail shows a different scene with people standing around. This creates a disconnect between the thumbnail and the actual content of the video, making it misleading for viewers."
