video_id,classification
6mTlK0C0BNo,"[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]t."
IQr45nXSyy4,"Based on the provided information, the thumbnail of the YouTube video is misleading. The image shows a man and a woman, but it does not accurately represent the content of the video. The video is actually about a man who has left his wife, and it contains scenes of him talking about his relationship and experiences. The thumbnail's content does not align with the actual video content, which is about a man discussing his personal life and relationship issues."
I8pYwTAVSJQ,.
HkzhNby8-XA,O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.OOO.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O3.O3
H9DK1iJ3FVo,"assistant:
    assistant:
    assistant:
    assistant:
    assistant:
    assistant:
    assistant:
    assistant:

assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:
assistant:"
4DGqCTf7jFM,e.e.e.e.e.eeeeeeeeeeeeeeeeeeeeeee.e.e.eeeeeeeeeeeeeeeeeeeeee0eeeeeeeeeeooooooo3333oooooooooooooeoooooeeeeeeee.Oo.OoOoOooeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeO---O---O---O---OOO.3.3.3.3.3.3.33333.3.3.3.O.OoOooooooooooooooooo.oo.eoeeeeeeeeeeeeeeeee6666666666666666ee6eeeeeeeeeeeeeeeeeeeeeeeeeeee000000o0000000000000000000000eeeeeeeeeeeooooooooooooo0o0o0o0000ooo0oooooooooooooooooooooooooooo---Oo0e.0.O---O---�---�o33e3o000000000000000000000000000000000---e---�---�---�---�---�---�0000---�5500000000o0o00000000100000---�---�---��---�o---oooooooooooooo---�
fvhYpqmUcgI,"The thumbnail for this video is not misleading. It accurately represents the main topic of the video, which is a performance on a talent show, likely ""America's Got Talent."" The thumbnail shows a young boy on stage, surrounded by stage lights and interacting with a large envelope or piece of paper. The audience and judges are also present in the thumbnail, indicating that the video is about a talent show performance. The video subtitles and description further support the content of the video, which is focused on the performance and the audience's reactions."
breg0bQS83U,"The thumbnail accurately represents the video content, showcasing the process of repairing or modifying an iPhone. The video demonstrates the intricate nature of modern smartphone internals, with a focus on precision and specialized tools. The thumbnail does not use exaggeration, false promises, or clickbait tactics, making it ""Not Misleading."""
ejpnVOP4xyk,"The video is a compilation of various scenes featuring a prominent African American comedian and actor. The video showcases the actor in different settings, including award shows, interviews, and behind-the-scenes moments. There are also snippets of social media posts and reactions, suggesting some controversy or noteworthy event involving the actor.

The video's thumbnail is misleading, as it does not accurately represent the content. The thumbnail might suggest a specific scene or topic, but the actual video contains a broader range of content related to the actor's career and experiences."
yS_GWY6B_y8,30044444444400 .3---�---3 .30003333333333333333333333334434444444444444444444 4.4. 0.0.0.3e00000000006666666666666660000600000.0.0.000000001010101000000000000000000000000000000000 0 0 0    0 0 0.000000000000000000000000000000000000000000000000000000000 30033333333333330303000000000000000000000000000000 1011111111111111111101010101000000010111111111111111111111110333333300000000000000000001011110001111000000111110111111111100011111033333333311331111113333333333333333333333333333333333333333333144101010111110001100
ndKF0a11s6k,.
c-8P-OeQkm8,"[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[Music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]
[music]"
