video_id,classification
QWuXUVlmTO8,"The thumbnail of the video is misleading. The actual video content does not depict a reality TV show or a talk show featuring a prominent female celebrity. Instead, the video is a compilation of various scenes featuring a woman with different hairstyles, outfits, and settings, suggesting that it is a montage of her public appearances and TV moments over time. The video subtitles also do not align with the content of the video, as they discuss the Kardashian Jenner family facing legal challenges and accusations of design theft, which is not reflected in the actual video content."
561BRxPJetA,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a shirtless man flexing his muscles on stage in front of an audience, while the actual content of the video is a reaction video featuring a man wearing a backwards cap and headphones, watching and reacting to various clips. The thumbnail does not accurately represent the main topic or content of the video, which is the reactor's reactions to different clips, rather than the man flexing his muscles."
bqh-xl0LizI,"The thumbnail of the video is misleading as it shows a woman in a colorful outfit, which is not the main subject of the video. The main subject of the video is a compilation of scenes featuring various celebrities and public figures, primarily focusing on a prominent female celebrity. The video includes interviews, public appearances, and behind-the-scenes moments in the entertainment world. The thumbnail's focus on a single woman in a colorful outfit does not accurately represent the content of the video."
MyPeH4mo9mw,"The thumbnail is categorized as misleading because it uses a provocative and exaggerated statement (""HOW DARE YOU"" and ""YOU DESERVE IT"") and a controversial image of two men on stage, which suggests a confrontation or altercation. However, the actual video content focuses on providing a more nuanced account of the Oscar slapping incident and its aftermath, including the reactions and commentary from various sources. The thumbnail's sensationalized content does not accurately represent the video's main topic or content."
Y4uTw3NUxYE,"The thumbnail of the video is misleading as it shows a split-screen image of two women, one of whom is Kylie Jenner, with a dramatic headline suggesting that Kylie has undergone botched surgeries and is facing criticism from her family. However, the actual video content does not fully support the dramatic claims made by the thumbnail. The video mainly focuses on the Kardashian-Jenner family, their appearances, and public perceptions, but it does not provide enough evidence to confirm the sensationalized headline. Therefore, the thumbnail is misleading as it creates an impression that is not entirely accurate."
UrHR9IrJftk,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content by showing two young actors who are co-stars in a Spider-Man film franchise, with various scenes and social media posts related to their relationship and interactions over time. The video content provides a comprehensive compilation of their careers and public interest in their lives, both on and off screen, without any misleading or exaggerated claims."
xcukC48nKv8,"Based on the provided information, the thumbnail of the video is misleading. The image shows a man and a woman in a bedroom, but the actual video content is about a couple on vacation, with scenes of them in a beach setting. The thumbnail does not accurately represent the main topic or content of the video."
znq_KaV1fdg,"The thumbnail of the video is misleading. The image shows a woman with long dark hair and glamorous makeup, but the video content is not about her. Instead, the video is about a different topic, which is not accurately represented by the thumbnail. The thumbnail's content does not match the actual video content, which can lead to confusion and disappointment for viewers who were expecting to see the woman in the thumbnail."
TEKNcxnHuA8,"Based on the provided information, the thumbnail of the video is misleading. The image shows a man in a cowboy hat, which is not an accurate representation of the video's content. The video actually features a compilation of scenes from the TV series ""Yellowstone"" and related promotional content, including interviews with actors, behind-the-scenes footage, and talk show appearances. The thumbnail's focus on a single element, the man in the cowboy hat, does not accurately represent the video's diverse content."
vgnMn5VM0YY,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail suggests that the video is about a celebrity named ""Kim K"" selling ""North,"" which is not supported by the actual content of the video. The video appears to be a compilation of scenes featuring a prominent celebrity and her family, with no indication of a controversial action like selling a child. The thumbnail's sensationalized and false text is likely intended to attract viewers, but it does not accurately represent the video's main topic or content."
OgxyySvmYtQ,"The thumbnail of the video is misleading. The image shows a woman with blonde hair, but it does not accurately represent the content of the video. The video is a compilation of various scenes featuring a young woman with blonde hair who seems to be a social media personality or influencer. The thumbnail should have been more representative of the video's content, which includes different settings, social media interactions, and her public image."
HV9z9w6CxvM,"The thumbnail of the video is misleading as it shows a picture of two people, possibly Spider-Man characters, but the actual video content does not focus on them. Instead, the video features a compilation of scenes and promotional materials related to the Spider-Man: Homecoming movie and its stars. The thumbnail's content does not accurately represent the video's main topic or content."
5XSVgOg3Iqo,"Categorization: Misleading
Explanation: The thumbnail is categorized as misleading because it does not accurately represent the main content of the video, which is a compilation of various vehicle-related scenes and incidents on a multi-lane road. Instead, the thumbnail focuses on a single, dramatic moment involving a silver SUV driving erratically and recklessly, which is not representative of the overall content of the video."
vfC4M1IBGok,"The thumbnail of the video is misleading. The image shows a woman with short dark hair, but the actual video content does not focus on her or her story. Instead, the video features various scenes of different people, including a woman in a yellow top, a man in a purple shirt, and a group of women in a church setting. The video seems to be a compilation of unrelated moments, making the thumbnail misleading by suggesting a specific focus on the woman in the image."
KA8WjgM5Gp4,"The thumbnail of the video is misleading. It shows a split-screen image of a man and a woman, with the man wearing a white outfit and the woman in a patterned sweater. However, the actual video content does not feature these two individuals or any significant interaction between them. Instead, the video consists of various scenes featuring different people, including celebrities, in different settings, such as a talk show, a podcast recording, and a backstage area. The thumbnail's content does not accurately represent the video's main focus or content, making it misleading."
rdDR5uaCIQc,"Thumbnail: The thumbnail shows a soccer player in a white jersey, possibly Cristiano Ronaldo, with a red card in his hand.

Subtitles: The subtitles describe various red card incidents in soccer matches, including players from different teams interacting, coaches or managers reacting, and players scoring or committing fouls.

Video Description: The video appears to be a compilation of scenes from different soccer matches, featuring players from various teams. The focus is on the red card incidents, such as players being sent off, coaches or managers reacting, and players scoring or committing fouls. The video also includes footage of players on the field, showcasing their skills and interactions during the matches.

Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content by showing a soccer player with a red card in his hand, which is a common occurrence in soccer matches. The video description and subtitles further emphasize the focus on red card incidents and the interactions between players, coaches, and managers during the matches."
ofk19swh308,"The thumbnail for the video is misleading. It shows a man in a suit and tie, which is not representative of the content of the video. The video is actually a compilation of various interview clips and promotional material featuring a prominent actor. The man in the suit and tie is not the main subject of the video, and his presence in the thumbnail is misleading."
yjex6KjvJ4M,"The thumbnail of the video is misleading as it shows a soccer player grinning while receiving a red card, which is not an accurate representation of the video content. The video is a compilation of various soccer moments and highlights, showcasing different teams, match situations, and players' skills. The thumbnail's content does not align with the actual video content, as it focuses on a specific moment rather than providing a broader view of the game."
tRIfyjgntSA,"Based on the provided information, the thumbnail of the video is misleading. The actual content of the video is a compilation of family moments and activities, featuring a woman and her children in various settings. The thumbnail, however, shows a dramatic, suspenseful scene with a spooky house and mysterious silhouette, which does not accurately represent the video's main topic or content. This misleading thumbnail may lead viewers to expect a different type of content than what is actually presented in the video."
5dZcMzfGVpM,"The thumbnail is misleading as it features a man in a tuxedo, which is not the main focus of the video. The actual video content is a compilation of various scenes featuring the same actor in different roles and settings throughout his career. The thumbnail's focus on the man in a tuxedo is unrelated to the video's content, which is about the actor's versatile roles and appearances."
C7T9l67T5AM,"Thumbnail: The thumbnail shows a young woman with blonde hair, wearing a black leather jacket, and posing for a picture on a red carpet.

Subtitles: The video appears to be a compilation of scenes featuring a young female celebrity, likely a pop star, in various settings and stages of her career. The video begins with a young man in a black cap singing into a microphone, possibly in a studio setting. It then transitions to a glamorous red carpet scene with a blonde woman in a black leather jacket posing for cameras. Next, we see a concert performance with two artists on stage, energetically performing for a large crowd. This is followed by a meet-and-greet type scene where the young woman is taking selfies with fans, showcasing her friendly and approachable demeanor. The video then moves through a series of more glamorous shots - the artist in futuristic, neon-lit settings, then at various award shows and red carpet events wearing stunning gowns, particularly favoring red dresses. These scenes highlight her evolution as a style icon and her rising status in the entertainment industry. We then see snippets that appear to be from music videos - one with a tropical setting, another with the artist lying on a bed surrounded by plants in a dreamy, colorful atmosphere. These showcase her artistry and the visual aspects of her music. The compilation also includes scenes of a young man, possibly another music artist, wearing a pink beanie and standing on a rooftop, suggesting collaborations or parallel careers. Towards the end, we see more intimate moments - a scene that could be from a photo shoot or a personal video, and performance clips that demonstrate the artist's growth and confidence on stage. The video concludes with a shot of the young woman smiling warmly at the camera against a backdrop of artificial grass, perhaps symbolizing her natural, down-to-earth personality despite her fame.

Categorization: Not Misleading"
rgBVLnBSgHs,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the content of the video, which is a humorous animated sequence depicting a horse's encounter with a brick wall. The image shows a horse walking towards the wall, and the video's content matches the thumbnail's depiction of the horse's comical collision with the wall."
705gE03_EUk,"Based on the provided information, the thumbnail of the video is misleading. The image shows a close-up of a woman with long dark hair and makeup, but the actual video content is not about her or her family. Instead, the video is about a different topic, which is not accurately represented by the thumbnail. The thumbnail's content does not align with the video's actual content, making it misleading for viewers."
8dIUX3H1zVA,"The thumbnail of the video is misleading as it shows a woman with a cell phone, which is not accurately representing the content of the video. The video actually features a compilation of scenes featuring a prominent dark-haired woman in various settings and situations, including interviews, public appearances, and casual wear. The thumbnail's content does not accurately reflect the video's content, which is focused on the woman's life and appearances rather than her use of a cell phone."
0mvCw-kAv98,"The thumbnail of the video is misleading. It shows a woman with long dark hair, which is not the main subject of the video. The main subject of the video is a prominent female celebrity, likely from a reality TV show or various media appearances. The thumbnail does not accurately represent the content of the video, as it focuses on a different person and does not convey the true nature of the video."
k7RK2eSFYxs,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a person riding a motorcycle in a concrete tube, which is not present in the actual video content. The video actually features various optical illusions, puzzles, and riddles, as well as the presenter reacting to the challenges. The thumbnail's content is unrelated to the video's actual content, making it misleading for viewers."
