video_id,classification
k7dfgOh3AE4,2.2.2.2.2.3.3.3.3.3.3.3.3.3.3.3.3.3.3.3.
r8GGcOTaX0A,"The video's thumbnail is misleading as it shows a woman with glowing eyes, which is not an accurate representation of the content. In reality, the video features a woman with red eyes, possibly due to the lighting conditions or an effect applied to the image. The video's content revolves around a group of people, including a man and a woman, exploring a house or a building at night. They seem to be investigating or searching for something, and there is a sense of tension or mystery in the scene. The video's subtitles also contribute to the misleading nature of the thumbnail, as they do not provide any context or information about the woman with glowing eyes."
p9rYqicga20,".
    .
    .
    .
    .
    .
    .
    .
    .
    .
    .
    .
    .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
."
omEdhW-n0qc,"The thumbnail of the video is misleading. The actual content of the video is a comedic skit or prank involving two young men and fake gold bars or valuable items. The thumbnail suggests that the video is about finding gold or valuable items, which is not the case. The video is meant to entertain and amuse the viewers, rather than providing accurate information about finding gold or valuable items."
AQa3u2JcJho,
4Ysfya6XYjk,"The thumbnail of the video is misleading as it shows a person with a shaved head, which is not an accurate representation of the content. The actual video features a group of people, including a woman in a green top, engaging in various activities and challenges. The thumbnail's misleading content might lead viewers to expect a different video or topic than what is actually presented."
KDP74u_-mgw,"The thumbnail of the video is misleading. The actual content of the video is a compilation of various scenes from Indian entertainment shows and events, focusing on controversial or dramatic moments. The thumbnail might suggest a different topic or scene, but it does not accurately represent the main content of the video."
7jZ7-kFWAQY,"0000000o
t
t
t
t
to
t0o0o0o00000000000o0o0o
o0o0o000o0o
oooooooo
o
o
t
t

t
t
t
toooo
t000000000000000000o00000000000ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
to
to
too
tooooooooo
t
t
t
s
t
t
t
t
t
s
s

o
o
o
o


s













oo

















o










t00

o
0

t
oo



o




oo
ooooooooooooooooooo
o
ooooooooooooooooooooo
o
o
o
o
o
o
o
o
o
o
o
o






o

o
o
o
o
o
o
o
o
o


o
o
o
o
ooooooooo
o
0o0oooo0oooooooooooooooooooooooooo.o.oo.o.o.o.















...




."
QfMf80VUw2Y,"o.
o.
ooooomm.
o.
om.
o.
o"
mQe0SkiJg5U,
NVP7MAOdKf0,"t





t





t



2




































































.

3."
1wj3Ba6-dzg,"The thumbnail of the video shows a woman holding a dog, which suggests that the video might be related to pets or animals. However, the actual content of the video is about a couple and their dog, with the man appearing distressed and the woman being engrossed with her phone. The video also features a confrontation between the couple and a third person.

The video's subtitles indicate that the man is trying to get the attention of the woman, who is preoccupied with her phone. The couple is also seen discussing something near some storage shelves. The video's content is not accurately represented by the thumbnail, making it misleading."
A-5hDBvJUjQ,"The thumbnail of the YouTube video is misleading. The image shows a person holding a large Lego Titanic model, which gives the impression that the video is about building or showcasing the completed Lego Titanic. However, the actual video content is about assembling the Lego Titanic, which is a different process than showcasing a completed model. The thumbnail does not accurately represent the main topic or content of the video, making it misleading."
