video_id   , classification
s0KtWNhB1Fk, "The thumbnail is misleading. The image shows a woman in a dark green outfit sitting in a chair against a black background, which suggests that she is the main subject of the video. However, the actual content of the video is a series of promotional interviews and behind-the-scenes footage for the Marvel Studios film ""Eternals."" The woman in the thumbnail is just one of the many cast members featured in the video, and her appearance is not representative of the video's main topic. The thumbnail uses a clickbait tactic by focusing on a single subject, which is not accurately representative of the video's content."
kOYy8iCfIJ4, "Based on the provided information, the thumbnail of the video is misleading. The video is about the book of Judges in the Bible, which is a story of Israel's complete failure, moral corruption, and the consequences of abandoning their faith and moral principles. However, the thumbnail suggests that the video is about a different topic, which is not accurate. The video's content is not clickbait or exaggerated, but it does present a disturbing and violent narrative. Therefore, the thumbnail is misleading and does not accurately represent the video's main topic."
UnIZ_GXP5m4, "The thumbnail of the video is misleading. The image shows a woman in a shimmering, nude-colored gown adorned with crystal embellishments, wearing an ornate headpiece and holding a microphone. This suggests that the video is about a fashion event or a red carpet moment. However, the actual content of the video is focused on interviews and behind-the-scenes moments at a high-profile fashion event, such as the Met Gala. The woman in the shimmering gown is just one of the many people present in the video, and her appearance is not the main focus of the content. Therefore, the thumbnail's representation of the video's main topic is misleading."
J1rD63L3d0M, "The thumbnail of the video is misleading. The image shows a close-up of a person with a sword, which suggests that the video is about action or combat. However, the actual content of the video is a gameplay sequence from The Witcher 3: Wild Hunt, focusing on dialogue, exploration, and character interactions. The thumbnail does not accurately represent the main topic or content of the video, as it exaggerates the action aspect and does not provide any context for the gameplay or story."
bpyrnAg6uVA, "The thumbnail of the video is misleading. The image shows a man and a woman, but the actual video content is a compilation of scenes from an interview or talk show, featuring a man and a woman engaged in a conversation. The thumbnail does not accurately represent the main topic or content of the video, as it does not show the actual interview or talk show setting."
W3QtP1hLBcQ, "The thumbnail of the video is misleading. The image shows a man and a woman, but it does not accurately represent the content of the video. The video is actually a BBC News segment discussing the ""Race for the White House"" and gender differences in voters. The video features a female news anchor and a male guest, both of whom are talking about the topic. The thumbnail's content does not align with the actual video content, which is focused on the presidential race and gender disparities in voting patterns."
qmmmQpkUyFo, "The thumbnail is not misleading. It accurately represents the video's main topic, which is the animated show ""Mr. Bean"" featuring the iconic character created by Rowan Atkinson. The thumbnail showcases the character's distinctive features and the central theme of the show, which revolves around Mr. Bean's comedic antics and his relationship with his teddy bear. The video's content description and subtitles further support the thumbnail's representation of the show's content."
fF6gExZu-2M, "The thumbnail of the video is misleading. The image shows a man sitting on a couch, eating pizza, and talking on the phone. However, the actual content of the video is a suspenseful and unsettling sequence from a horror or thriller film. The man is not eating pizza; instead, he is in a dangerous situation with a masked figure. The thumbnail does not accurately represent the video's main topic or content, as it portrays a casual and relaxed scene, while the actual video is filled with tension and fear."
5wo3h2VUsz4, "The thumbnail for the video is misleading. The image shows a man in a suit and tie, which suggests a formal or professional setting. However, the actual content of the video is an interview between Piers Morgan and a former U.S. president, which is a more casual and informal setting. The thumbnail's content does not accurately represent the video's main topic or content, as it implies a more formal or professional context."
8HqlJfVUTpM, "ooooetooooetoetoetoetooetoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
             o
             ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
             oo
             o
             o
             oooo
             o
             o"
6VWQoCNiJK4, 
_P-y0rKMp9M, "The thumbnail of the video is misleading. The image shows a woman with horns and a red lip, which is not an accurate representation of the video's content. The video actually features behind-the-scenes footage from a Walt Disney Pictures production, likely for the movie ""Maleficent: Mistress of Evil."" The scenes transition through various settings and characters, giving a glimpse into the filmmaking process and the movie's fantasy world. The video does not focus on a single character with horns and a red lip, but rather showcases the making of a big-budget fantasy film, including the use of blue screen technology, costumes, and action sequences."
gO_KyTtJg10, "The thumbnail of the video is misleading. The image shows a man holding a bird, which is not a typical scene from a talent show. The actual content of the video is a compilation of scenes from a talent show, featuring contestants, judges, and audience reactions. The thumbnail's focus on the man with the bird creates a false impression of the video's main topic, which is the talent show."
FpCiWjDNLjA, and it's a place people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't people can't.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.
rp0cG2KP_lA, F
k4Bl4TXEm1w, "The thumbnail for this video is misleading. The image shows Keanu Reeves and Stephen Colbert shaking hands, which suggests a friendly interaction between the two. However, the actual content of the video shows a more intense and engaging conversation between the two men, with Keanu Reeves becoming increasingly animated. The thumbnail does not accurately represent the main topic or content of the video, as it implies a more casual interaction rather than the lively discussion that actually takes place."
H41fuhz_gvw, "The thumbnail is misleading. The thumbnail shows a person in a suit, which is not accurately representative of the video's content. The video actually features an abstract, dynamic digital animation with flowing, wave-like structures made of light against a deep blue background. The thumbnail's content is unrelated to the actual video content, and it uses a clickbait tactic to attract viewers."
96kZPzCUa5Y, "The thumbnail of the video is misleading. The image shows a woman in a gold dress, which might suggest that the video is about a glamorous event or a red carpet appearance. However, the actual content of the video is a compilation of various scenes from a celebrity's public appearances and performances, including behind-the-scenes moments, interviews, and press conferences. The woman in the gold dress is just one of the many scenes featured in the video, and her appearance is not the main focus of the compilation. The thumbnail's focus on the glamorous aspect of the video is misleading, as it does not accurately represent the video's content."
f_AyjjBAV8c, "The thumbnail of the video is misleading. The thumbnail shows a person holding a cell phone, which suggests that the video might be about technology or communication. However, the actual content of the video is about keeping secrets, as evidenced by the text frames set against a purple background and the repeated phrases about trust, secrecy, and the weight of holding onto confidential information. The thumbnail does not accurately represent the video's main topic or content, and it uses clickbait tactics to attract viewers by presenting a different subject than what the video is actually about."
8cWBdEowJPw, "The thumbnail of the video is misleading. The image shows a woman in a black dress, which might suggest that the video is about fashion or a similar topic. However, the actual content of the video is about a high-profile fashion event, likely the Met Gala, where two women are conducting interviews for Vogue magazine. The video also features other celebrities on the red carpet, showcasing the glamorous atmosphere of the event. The thumbnail does not accurately represent the main topic or content of the video, as it focuses on a single aspect of the event rather than the overall context."
6Q0AazVu1Tc, "The thumbnail of the video is misleading. The image shows a man in a yellow shirt, but the actual video content is a talent show performance with various elements such as audience reactions, a judge's panel, and a London cityscape. The thumbnail focuses on the man in the yellow shirt, but it does not accurately represent the main topic or content of the video, which is a talent show performance."
bPFR1AqtgLQ, "The image shows two women sitting on a couch, engaged in a conversation. One woman is wearing a black dress, while the other woman is wearing a pink dress. They appear to be having a friendly discussion, possibly about their experiences or sharing stories. The scene suggests a casual and relaxed atmosphere, with the two women enjoying each other's company."
tPCR_Y41DYs, "The thumbnail of the video is misleading. The image shows a man wearing a blue cap and sunglasses, which suggests that the video is about him. However, the actual video content is about a golf cart ride on a sunny day at a golf course, featuring two people engaged in an animated conversation. The man in the thumbnail is not the main focus of the video, and his presence is not significant enough to accurately represent the video's main topic."
YSLk4WziVmM, "The thumbnail of the video is misleading. The image shows a chimpanzee holding a piece of fruit or food, which might suggest that the video is about feeding behaviors or interactions. However, the actual content of the video is a nature documentary focusing on chimpanzees in their natural forest habitat, showcasing their social interactions, tool use, and adaptation to their environment. The thumbnail does not accurately represent the video's main topic or content, as it only highlights a single aspect of the chimpanzees' behavior."
zy9IFt2NU28, 
Q4kF0lRzGnI, "0
             0
             3
             0
             000
             0
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             0"
HiIpk3kSHf4, "The video thumbnail: The image shows a family, including a man, a woman, and a young girl. They are sitting on a couch, and the man is wearing a striped top. The family is posing for a picture."
eyFKQElz25o, "The thumbnail of the video is misleading. It shows a man and a woman, which might suggest that the video is about a couple or a family. However, the actual content of the video is about the history of the Trump family and their origins in New York City. The thumbnail does not accurately represent the video's main topic or content."
xoUZD1UH_uY, "The thumbnail of the video is misleading. The image shows a man in a suit and a man in a green uniform, which suggests that the video might be about a professional or legal setting. However, the actual content of the video is about a documentary or investigative program that explores various topics, including crime, imprisonment, and historical events. The thumbnail does not accurately represent the main topic or content of the video."
05oEeCtmNeo, "The thumbnail of the video is misleading. The thumbnail shows a group of dogs standing together, but the actual video content shows a more dynamic and playful interaction between the dogs. The dogs are not just standing, but also engaging in various behaviors such as sniffing, circling, and playfully nipping at each other. The thumbnail does not accurately represent the main topic or content of the video, which is the dogs' social interactions and playfulness."
DMWZnUpNhPA, "The thumbnail of the YouTube video is misleading. The image shows a woman in bright neon yellow pants and a peach-colored top walking with a person dressed entirely in black. However, the actual video content does not accurately represent the thumbnail's content. The video shows a different scene, with the woman in bright yellow pants and the person in black walking together. The thumbnail's content is exaggerated and does not accurately represent the video's main topic or content."
CPU1P38nTkY, and you're you're going to be a lot of the president you'reat you're you're you're you're you're you're you're you're you're you're you're you're you're you're you're youre youre youre youre youre youre youre youre youre youre yourefford yourefford yourefford yourefford yourefford yourefford yourefford yourefford yourefford.
dzY-XIdiZ8g, "The video thumbnail is misleading. The image shows a man wearing a Monster Energy cap, but it does not accurately represent the main topic of the video. The actual video content is a podcast or interview featuring two individuals, with one of them wearing a Monster Energy cap. The thumbnail focuses on the man in the cap, which might lead viewers to expect a different topic or content than what is actually being discussed in the video."
Xejs4gGUpjE, "The thumbnail of the video is misleading. The image shows a man in a suit giving a speech, but the actual content of the video is a political convention or rally featuring a speaker addressing the audience. The thumbnail does not accurately represent the main topic or content of the video."
bTvTIiX6_6U, "The thumbnail of the video shows a man, likely Elon Musk, and it is described as ""Misleading."" The video is about Elon Musk and his influence on social media, specifically Twitter. The video discusses how Musk is allegedly driving election disinformation. The content of the video suggests that it is not misleading, but rather provides information about the topic at hand."
fl0x9Swgfgw, c.
6BTdXJowX6k, "The thumbnail is misleading. The image shows a group of men in traditional Mexican mariachi-style outfits, which suggests that the video is about a Mexican dance performance. However, the actual video content is an episode of the television show ""America's Got Talent,"" featuring a group of male dancers in traditional Mexican mariachi-style outfits. The thumbnail does not accurately represent the video's main topic or content, as it implies a Mexican dance performance rather than a talent show performance."
_9Z03xQ2b8c, "The thumbnail is misleading. The image shows a man and a woman, but the actual video content is about a celebrity couple, focusing on their public life, careers, and personal journeys. The thumbnail does not accurately represent the video's main topic or content."
lJLtYdNeAZg, "The thumbnail of the video is misleading. The image shows a man wearing a cap and a gray and red shirt, but it does not accurately represent the content of the video. The video is actually a reality TV show on TLC, focusing on a couple's relationship and their interactions with each other. The thumbnail's content does not provide any context or information about the couple or their relationship, making it misleading for viewers who are interested in the actual content of the video."
puaX01Ur5oA, "The thumbnail of the video shows a man giving a speech at a convention, which suggests that the video is related to politics or public events. The video's subtitles indicate that the man is talking about the importance of unity, law, and order in the United States. The video's content description also supports this, as it highlights the speaker's message about the country's values and principles. Based on these details, it can be inferred that the thumbnail accurately represents the video's main topic. The thumbnail is not misleading, as it accurately portrays the content of the video."
WDMOsXn5XPk, s number one thing you'reat number one thing you'reat number one thing you'reat number one thing you'reat number one thing you'reat number one thing you'reat one number one thing you'reat number one thing you'reat number one thing you'reat one number one thing you'reat one number one thing you'reat one number one thing one number one thing one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one number one.
_mDmGaaPhTQ, "The thumbnail for the video is misleading. Although it shows a person in a cowboy hat, which is a part of the video, the image does not accurately represent the content of the video. The video is actually a parody of the popular Netflix series ""Squid Game,"" blended with elements of a country music video. The thumbnail does not provide any indication of the parody or the country music elements, which could lead viewers to expect a different type of content."
pVbLFHReNvk, "The thumbnail of the video is misleading. The image shows a man with a beard and glasses, but the actual video content is a compilation of scenes from various shows on the Oprah Winfrey Network (OWN). The man in the thumbnail is not a prominent figure in the video, and his presence does not accurately represent the main topic or content of the video. The thumbnail may have been chosen to attract viewers with a recognizable face, but it does not accurately represent the video's content."
FsThr4wk-6k, "The thumbnail of the video is misleading. The image shows a man and a woman sitting together, but the actual content of the video is a behind-the-scenes look at a production or interview involving a popular entertainer. The thumbnail does not accurately represent the video's main topic or content, as it suggests a romantic or intimate relationship between the two individuals, while the actual video focuses on a professional setting with interviews and performances."
0My8YdNHr78, "The thumbnail of the video is misleading. The image shows a man and a woman, but the actual video content is focused on the 2024 U.S. presidential campaign, specifically Donald Trump's campaign activities and economic plans. The thumbnail does not accurately represent the main topic or content of the video."
E1n_JXSPomg, "S.
             
             
             
             
             
             S.
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             s.
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             S.
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             s.
             
             
             
             S.
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             
             s.
             
             
             
             
             t.
             
             
             t.
             t.
             t.t.
             s.
             t.
             
             
             t.
             t.
             t.
             t.
             
             
             t.
             s.
             t.
             s.
             s.
             t.
             t.
             t.
             t.
             t.
             t.
             t.
             t.
             t.
             s.
             s.
             sue.
             s.
             s.
             s.s.s.t.t.t.
             t.
             t.
             t.
             
             
             
             
             
             
             
             s.
             
             
             t.
             t.
             t.
             o.
             o.
             o.
             s.
             they.
             they.
             they.
             the.
             they
             s"
s3X2vSCcDUM, 
MdLcP8dJls4, "The video is a makeup tutorial featuring Ariana Grande. She is demonstrating various makeup techniques and products, including the use of R.E.M. Beauty, and Fenty Beauty. The tutorial is divided into different sections, with each one focusing on a specific makeup product or technique. The video is approximately 15 minutes long, showcasing a wide range of makeup products and tips."
VDJlWuxMnjg, "The thumbnail for the video is misleading. Although the video is about a new iPhone model, the thumbnail does not accurately represent the content of the video. Instead, it shows a close-up of a lizard on a gravel path, which is not related to the iPhone or its features. This misleading thumbnail may lead viewers to expect a video about lizards or reptiles, rather than a product reveal for a new iPhone model."
CfrwMi2oHUM, "The thumbnail is misleading. The image shows a cat character with a heart on her shirt, which might suggest a romantic or heartwarming theme. However, the actual video content is a promotional animation featuring an animated cat character in various scenes and settings, showcasing her playful and energetic nature. The video does not have a romantic or heartwarming theme, as it focuses on the character's interactions and expressions in different environments. The thumbnail's content does not accurately represent the video's main topic or content, making it misleading."
gk-ciEQSQUM, "The thumbnail for the video is misleading. Although the thumbnail features a woman in a black dress, it does not accurately represent the content of the video. The actual video is a Netflix comedy special featuring a female comedian, Mo'Nique, who is wearing a black evening gown and performing her stand-up routine. The thumbnail does not provide any indication of the comedic nature of the content or the performer's identity."
LY8L6C7tsx8, "The thumbnail of the video is misleading. The image shows two men in suits, which might suggest that the video is about business or politics. However, the actual content of the video is about the US presidential election process and its history. The video uses a mix of historical imagery, modern footage, animated graphics, and data visualizations to explain the complex process of US presidential elections, their history, and their significance in American democracy. The BBC branding is visible throughout, indicating this is likely part of their educational or news content about US politics."
ckbfS99N6jY, "The thumbnail is misleading. The image shows a man wearing a fur hat, which is not a typical scene at a McDonald's restaurant. The actual video content is about the opening of a McDonald's in Moscow, which is a significant event in the city's history. The thumbnail's content does not accurately represent the video's main topic or content."
QwiX2bRrkXg, 
hRwcYKZ2YzU, "The thumbnail for this video is misleading. The image shows Ben Affleck sitting in a chair, which might suggest that the video is about him or features him in some way. However, the actual content of the video is a Good Morning America (GMA) exclusive interview with Ben Affleck, where he talks about his personal struggles and addiction. The thumbnail does not accurately represent the main topic of the video, which is the interview and not just a picture of Ben Affleck."
slLhvr4mlUI, s.
