video_id,classification
1GYbAEGUgm0,"Categorization: Misleading
Explanation: The thumbnail is considered misleading because it shows a man in a suit with a bloody chest being restrained by two uniformed officials, which is not representative of the video's actual content. The video focuses on scenes of destruction, emergency response, and political statements related to a conflict or war situation, likely in Ukraine. The thumbnail's content does not accurately reflect the video's main topic or content, and it uses exaggeration or clickbait tactics to attract viewers."
LQCQym6hVMo,"The thumbnail of the video is misleading. The image shows a woman in a bright pink outfit, which suggests that she is the main focus of the video. However, the actual video content features a different woman in a black outfit, who is the host of the show. The thumbnail does not accurately represent the video's main topic or content."
0W8T9QKQAMA,"THANK YOU FOR YOUR
THANK YOU FOR
YOUR CAREER?
KRIS:
YOU FOR YOUR
THANK YOU FOR
YOUR CAREER?

KRIS:
THANK YOU FOR
YOUR CAREER?

THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THANK YOU FOR
THank yu for
THank yu for
THank yu for
thank yu for
thank yuu for
thank yu for
thank yuu for
thank yuu for
thank yuu for yuu for yuanku foru foru foru foruanku foru foruanku foruanku foruanku foruanku foru foruanku foruanku foruanku foruankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuankuuuuuuankuankuankuankuankuankuankuuuuuuuuuuuuuuuuuuankuankuankuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu."
IeH0mz0REi4,"The thumbnail of the video shows a man wearing a suit and tie, standing at a podium and speaking into a microphone. This image accurately represents the video content, which features a comedian hosting or presenting at an awards show, likely the Golden Globe Awards. The video includes various scenes of the host in different outfits and settings, as well as shots of the audience and other elements related to the event. Therefore, the thumbnail is not misleading, and the video content aligns with the thumbnail's description."
2qepS30_wdA,"The thumbnail of the video is not misleading. It accurately represents the main topic of the video, which is a film or documentary exploring themes of youth, introspection, and urban life in Asia, likely South Korea. The thumbnail shows a person in a recording studio, playing a guitar, which is one of the scenes from the video. The video also includes various other scenes, such as people swimming, a person in a streaming or gaming setup, individuals in conversation, and more, all of which are relevant to the film's content."
oULoamyhycA,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a man in a suit, which might suggest a formal or professional setting. However, the actual video content features a man in a casual shirt, talking about venture capital and investments in entrepreneurs. The thumbnail's content does not accurately represent the video's main topic, making it misleading."
0uftdOL3fyQ,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a woman speaking into a microphone, which is not accurately representative of the video's content. The video actually covers a political event or meeting, with various attendees and discussions taking place both inside and outside the venue. The thumbnail's focus on a single person speaking into a microphone does not accurately convey the overall narrative and context of the video."
4p4Cs2IVSXw,"The thumbnail of the video is misleading. The image shows a man in a suit standing at a podium, which suggests that he is giving a speech or presentation. However, the actual content of the video is a comedian hosting an awards ceremony, specifically the Golden Globe Awards. The man in the suit is actually the host, Ricky Gervais, who is known for his humorous commentary and jokes during the event. The thumbnail does not accurately represent the video's main topic or content, as it focuses on the host's formal attire rather than his comedic role."
w3hPbyoebZE,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content by showcasing various moments in the life of a young female celebrity and her relationship with a male companion. The images depict different settings and events, including a red carpet event, a sporting event, personal moments, and public appearances. The video content also focuses on the couple's relationship, their personal moments, and their public life together. The thumbnail does not exaggerate or sensationalize any aspect of the couple's lives, making it a true representation of the video's content."
8KeOxeuiZjs,"The thumbnail of the video shows a man in a tuxedo standing on a stage, which suggests that the video is related to an awards ceremony, such as the Oscars. The actual video content supports this, as it features a man in a tuxedo giving an acceptance speech at an awards ceremony. Therefore, the thumbnail accurately represents the video content and is not misleading."
DkuFT4JfWjM,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content by showing a man in a suit holding a trophy, which is Pedro Almodóvar winning the Golden Lion award at a film festival or award ceremony. The video description also supports this, as it focuses on Almodóvar and his achievements at the event."
pWAKbgB7CHg,"The thumbnail of the video shows a woman with dark skin applying makeup, while the video content focuses on a different woman going through a makeup application process. The thumbnail is misleading as it presents a different person and scenario than what is actually shown in the video."
fm9DH2OtClo,"Thumbnail: The thumbnail shows a split image of a man and a woman, with the man on the left side and the woman on the right side. The man is wearing a green shirt, and the woman is wearing a black shirt with ""LADY PAYS"" written on it.

Video Description: The video appears to be a street interview or vlog-style segment, likely for a media outlet or online channel. The scenes show various moments of an interview taking place on busy city streets, featuring a recurring interviewer and interviewee. The interviewer is a man wearing sunglasses and a light-colored short-sleeved shirt, holding a green microphone with a logo. The main interviewee is a young woman wearing a black shirt with ""LADY PAYS"" written on it. They engage in conversation, with both of them gesturing and laughing at times. The setting is an urban environment with busy streets, traffic, and buildings in the background. There are scenes near a taco stand, under an overpass, and in front of various storefronts. The video includes moments of casual conversation, more formal interview poses, and candid interactions."
65Dew37xj9w,"The thumbnail of the video is misleading. The actual video content is a podcast or interview featuring multiple guests, including a woman with psoriasis, a rheumatologist, and a dermatologist. The thumbnail suggests that the video is about Kim Kardashian, which is not accurate. The thumbnail's content is not representative of the actual video content, making it misleading."
tZB8EzZrxtY,"The thumbnail of the video is misleading as it shows a man in a suit and tie being interviewed, which is not the main focus of the video. The main focus of the video is the baseball game, specifically the ""Serie del Rey"" (King's Series), which includes post-game interviews with team managers, game highlights, and discussions about the game. The thumbnail does not accurately represent the content of the video, which is primarily centered around the baseball game and its coverage."
L4Xx7IZ4j_Q,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content by showing a man in a dark suit with a pink ribbon pin speaking at a podium during a political event or press conference. The man is addressing judicial reform, which matches the description of the video's setting and participants. The thumbnail does not exaggerate or mislead the viewer about the main topic of the video."
G-4tJ63X5vo,"The thumbnail of the video accurately represents the content by showing a bride and groom at their wedding, with the groom in a tuxedo and the bride in a white veil. The video itself captures various moments from the wedding celebration, including the couple's engagement, preparations, ceremony, and reception. The video also features a performer, likely the groom, singing at the reception. Overall, the thumbnail is not misleading, as it accurately represents the main focus of the video, which is the wedding celebration of a high-profile couple."
QuKVBeD6qqQ,"Categorization: Not Misleading

Explanation: The thumbnail accurately represents the playful interaction between the small dog and the person in the bedroom setting. The video showcases the dog's energetic and joyful mood, as well as the person's engagement with the pet. The thumbnail does not use any misleading tactics or exaggeration, and it aligns with the video's content and theme."
OhDgNoqkTrw,"The thumbnail accurately represents the video content by depicting a dramatic performance at an awards show, featuring a lone figure silhouetted against a fiery circular stage, and a main performer singing or rapping with passion and intensity. The video showcases a dynamic and visually striking performance with intense lighting effects, fire, and smoke, as well as a large ensemble and a brightly lit awards show setting. The thumbnail is not misleading, as it effectively conveys the essence of the video's content."
3SsK-cxlj_w,"Lake Baikal.


Lake Baikal.
Lake Baikal.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
Lake.
lake.
lake.
lake.
lake.
lake.
lake.
lake.
lake.
lake.
lake.
lake.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l"
QCFluH5CZbo,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the content of the video, showing a high-level diplomatic meeting between Ukrainian and American officials discussing matters of national security or international cooperation. The presence of military personnel and the serious tone suggest that defense or strategic issues are being addressed. The multiple camera angles and professional quality indicate this is official footage, possibly for news or documentary purposes."
fQ3uql6oFtg,"The thumbnail of the video is misleading. The image shows a man and a woman sitting on a couch, but the actual video content is focused on a young couple's relationship and pregnancy journey. The thumbnail does not accurately represent the content of the video, which is about a young couple and their pregnancy, rather than a general relationship or family dynamic."
moM--zl7dj8,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the content of the video, showing a soccer match with players in red and white uniforms, including moments of gameplay, celebration, and intense action near the goal. The video description also aligns with the thumbnail's content, providing a comprehensive overview of the match and its various aspects."
5P5rKZi5qCU,"The thumbnail of the video is misleading. It shows a picture of Selena Gomez, but the actual video content does not primarily focus on her. Instead, the video features a compilation of various scenes, including a volleyball team, a surprise visit, a red carpet event, and interviews. Selena Gomez is only briefly featured in the video, and her presence is not the main subject of the content. Therefore, the thumbnail's representation of the video is not accurate."
t-ZWkb0vyMU,"Categorization: Not Misleading

Explanation: The thumbnail accurately represents the content of the video, which appears to be a romantic relationship and wedding celebration of a celebrity couple. The video includes scenes of the couple on a boat, a proposal or engagement announcement, wedding preparations, the ceremony, reception, and a fashion photoshoot. The couple is shown in intimate poses and moments, reflecting their affectionate relationship. The video's content is consistent with the thumbnail's depiction of a couple celebrating their love and commitment."
lArb4T4Yp3k,"Based on the provided information, the thumbnail of the video is misleading. The image shows a man and a woman sitting on a couch, but the actual video content features a different set of guests, including a man in a suit and a man in a leather jacket. The thumbnail does not accurately represent the main topic or content of the video, which is a talk show featuring various guests engaged in conversation."
UOhskKdvhrI,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content by showing a woman in a dark purple silk robe, who is indeed giving a tour of a luxurious modern home. The thumbnail does not exaggerate or use clickbait tactics, and the main subject is clearly visible in the thumbnail, making it non-misleading."
H3PwDOUoqlM,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail suggests that the video is about investing strategies, while the actual content of the video is about the automotive industry, specifically discussing issues in the petrol car supply and demand in relation to government regulations. The main speaker is a man wearing a light blue button-up shirt over a white t-shirt, and he is speaking into a black microphone labeled ""Deity."" The video progresses through various scenes of the speaker discussing different aspects of the topic, including the impact on car prices and the possibility of not being able to supply petrol cars to customers."
2p7Ah8uQqmU,"The thumbnail of the video shows a soccer player in a blue jersey, which is not accurately represented in the video content. The video focuses on various soccer matches, including international and club matches, featuring different teams and players. The thumbnail's content does not match the actual video content, making it misleading."
9PQpYvKdupo,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content by showing the main speaker, an older man in a dark suit, at a podium during an official press conference or government presentation in Mexico. The presence of a sign language interpreter and the formal setting match the description of the video's content. The speaker's gestures and interactions with visual aids further support the accurate representation of the event."
V7jSEMnKTJU,"Thumbnail: The thumbnail shows a large crowd of people marching in a street while waving numerous Mexican flags, with text overlaid that reads ""5 MOVILIZACIONES PROGRAMADAS"" (5 Scheduled Mobilizations).

Subtitles: We are going to radically change information We go to our streets here in the capital in the city center hemicycle to Juarez Cesar Velazquez you you you find in These demonstrations protest for the The topic of the judiciary is moving towards the senate What is the chronicle How is it Find out right now in this morning Buenos days How is Rodrigo rich with taste to greet you because without a doubt it is expect a difficult day for the road depending on the walk Sunday cycling events are scheduled at least five mobilizations that will run from Hemicycle to Juarez to the Senate of the area From Juarez Avenue to the Angel Senate of independence two of them more for the afternoon and one more at 6 that will end with this day of protests in favor of the judiciary of the Reform Federation proposed by the Federal Government That is the first and It is very large, there is a group of people in front. motorcyclists and are workers of the judicial branch of the federation State of Zacatecas Who are they? accompanied by different student social organizations civil organizations which are They gathered from 9...

Video Description: This video appears to be live news coverage of a large protest by workers of the PJF (Poder Judicial de la Federación - Federal Judiciary) in Mexico, likely in Mexico City based on the urban setting visible.

The scenes begin with close-up shots of protesters holding signs and banners. One prominent red banner reads ""BAIA"", while other signs mention support for ""PJF"" (possibly referring to the Federal Judiciary). There are shots of people in white clothing holding these signs and banners.

As the video progresses, we see wider shots of the protest, revealing a substantial crowd gathered in a city square or boulevard. The protesters are waving Mexican flags and holding various signs. Many are dressed in white, which seems to be a unifying color for the demonstration.

The crowd appears energetic and passionate, with people chanting, raising their arms,"
M8ZpecCPo54,"Based on the provided information, the thumbnail of the video is categorized as ""Misleading"". The thumbnail shows a person walking in heavy rain with an umbrella, wearing a face mask, and the text overlaid in Spanish indicating cold and rainy weather across much of Mexico. However, the actual video content is a compilation of various weather and news footage, showcasing different scenes related to weather patterns, crowd activities, and daily life in Mexico or a Spanish-speaking country. The video does not focus on the person in the thumbnail or the specific weather conditions depicted in the thumbnail. The thumbnail's content is exaggerated and sensationalized, which is why it is considered misleading."
C6FNlGPkhLw,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents one of the scenes in the video compilation, showing a person in a white shirt walking in a dark space. The video content consists of various amusing or unexpected moments captured on camera, such as people interacting with each other, children playing, and people reacting with surprise. The thumbnail does not exaggerate or mislead the viewer about the main topic or content of the video."
YASzEtlOeso,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video's main topic, which is a news report or documentary-style piece discussing issues related to social media regulation and freedom of expression, with a focus on a platform referred to as ""X"" (likely Twitter). The video features a presenter, a woman with long dark hair wearing a patterned blue and white top, who appears throughout the video providing commentary. The video portrays Elon Musk as the owner of the platform and raises questions about the responsibility of platforms for user-published content and whether they should be viewed solely as content hosts. The thumbnail does not exaggerate or use clickbait tactics to mislead the viewer, making it a ""Not Misleading"" categorization."
NS0mpa7K1ZM,"The thumbnail of the video shows a woman in a black and white dress, which is not an accurate representation of the video's main topic. The actual video content is a talk show segment featuring two women seated in white chairs, engaged in a conversation. The woman in the black and white dress is not the main focus of the video, and her presence in the thumbnail is misleading. Therefore, the thumbnail is categorized as ""Misleading""."
zhEWqfP6V_w,"Thumbnail: The thumbnail shows a soccer player in a white uniform, with a severe head injury, and text overlay reading ""WORLD CUP FINAL"" in red letters.

Subtitles: [Applause]
it's called the ground he's got a
penalty
a heartbeat
Alvarez here's McAllister the Maria is
the spare man
glorious goal
Argentine gold
obliged
[Applause]
Katara Martinez
containers
[Applause]
in by Coleman
[Applause]
Bridge
[Applause]
Coleman great stop
Argentina champions of the world
[Applause]

Video Description: This sequence of images depicts key moments from the 2022 FIFA World Cup Final match between Argentina and France. The video appears to capture the dramatic progression of the game:

1. The opening shot shows the field with the flags of Argentina and France, setting the stage for the match.
2. Early game action is shown with players from both teams on the field, surrounded by a packed stadium.
3. A scoring opportunity near the goal, with players from both teams in position.
4. The scoreboard shows Argentina leading 1-0 at the 35-minute mark.
5. Intense one-on-one action between players from opposing teams.
6. As the game progresses, Argentina extends their lead to 2-0.
7. France begins to mount a comeback, scoring to make it 2-1.
8. The tension builds as France equalizes, bringing the score to 2-2.
9. Late in the game, Argentina scores again to take a 3-2 lead.
10. France responds once more, tying the game at 3-3 and forcing extra time.
11. The final moments of regulation time show both teams fighting for a winning goal.
12. A crucial penalty kick is taken, likely during a shootout to decide the winner.
13. An Argentine player celebrates passionately, suggesting a victorious moment.
14. The final image shows the FIFA World Cup trophy, gleaming and radiating light, symbolizing the ultimate prize"
7nIRj0jgg6w,"The thumbnail of the video is misleading. It shows a woman with long dark hair and a black top, which is not an accurate representation of the video's content. The video actually features a compilation of scenes from a reality TV show or documentary series, focusing on a family or group of celebrities. The scenes transition between different settings and individuals, creating a narrative flow. The woman in the thumbnail is not a central figure in the video, and her appearance does not match the content of the video."
