video_id,classification
QWuXUVlmTO8,S
561BRxPJetA,
bqh-xl0LizI,
MyPeH4mo9mw,"The thumbnail for this video is misleading. It shows a man in a tuxedo with the text ""Will Smith Slaps Chris Rock at the Oscars,"" which implies that the video is about the infamous incident between the two actors. However, the actual content of the video is a broader discussion about celebrity culture, public behavior, and the impact of controversial moments in high-profile events. The video includes clips from other award show moments, behind-the-scenes footage, and interviews, but it does not focus solely on the Will Smith and Chris Rock incident. The thumbnail uses clickbait tactics to attract viewers by exaggerating the main topic of the video."
Y4uTw3NUxYE,"twearing
twe can'telling that
tweeting that
tweets that
tweets that
tweets that
tweens that
tweens that
tweens that
tweens that
tweens that it'sweens that it'sweens that it'sweens that it'sweens that it'sweens that it'sweens that it'sweens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that sheens that isens."
UrHR9IrJftk,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content, showcasing various scenes and social media posts related to the two young actors who are co-stars in a Spider-Man film franchise. The video chronicles their relationship and interactions over time, both on and off screen, and provides a comprehensive look at their careers and public interest in their lives. The thumbnail does not exaggerate or use clickbait tactics to attract viewers, as it accurately represents the video's main topic and content."
xcukC48nKv8,"t
t
t
t
t
0o
0o


t
t
o


t




o












o







o
ooooo
o
o
o
o
o
o
o
o
o"
znq_KaV1fdg,
TEKNcxnHuA8,"The thumbnail of the video shows a man in a cowboy hat, suggesting that the content is related to the TV series ""Yellowstone."" The video appears to be a compilation of scenes featuring actors from the show, interspersed with promotional appearances by one of the main actors. The content seems to be a mix of actual show footage, behind-the-scenes interviews, and promotional appearances, giving a broad overview of the actor's involvement with the series and its public presence. Based on this information, the thumbnail is likely ""Misleading"" rather than ""Misleading."""
vgnMn5VM0YY,"S.
S.
S.
S.
S.
S.
S. The
The. The
The. The. The. The. The. The. The
The
The The The The The The The The The The The The The The The
The.
S.
St.
S
S
S
So
Sto. Theo. The
St. St. St.
St. The The The The The The The The The
The Theo. Theo.
The
The
Theo
So
Sooooooooooooooooooooooommoooooooooo. Theo. The
So
So
So
So
So
Soooooo
Ooo
Soooooo.Oo. Theooooooooooooo
Ooo"
OgxyySvmYtQ,"The thumbnail for this YouTube video shows a woman with blonde hair, and the title suggests that it is a compilation of various scenes featuring her. The video description indicates that it covers different aspects of her public life, from casual moments to professional appearances. The video likely includes clips of her dancing, social media interactions, and interviews. Based on the provided information, the thumbnail accurately represents the video's main topic, which is the woman and her public life. Therefore, the thumbnail is not misleading."
HV9z9w6CxvM,"The video's thumbnail shows a young man and a young woman standing next to each other, possibly on a red carpet. The video's title suggests that the content is related to the Spider-Man movie. The video's description indicates that it is a compilation of scenes from the Spider-Man movie, featuring the stars of the film. The video's subtitles include interviews, behind-the-scenes, and other movie-related content."
5XSVgOg3Iqo,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content, showing a car driving on a multi-lane road with other vehicles and the surrounding environment. The video itself focuses on the driving behavior of the silver SUV, which is the main topic of the video. The thumbnail does not exaggerate or use clickbait tactics to attract viewers, and it accurately reflects the content of the video."
vfC4M1IBGok,pur
KA8WjgM5Gp4,.
rdDR5uaCIQc,tell 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d.
ofk19swh308,
yjex6KjvJ4M,"The thumbnail of the video is misleading. The image shows a woman in a soccer uniform with her hand on her chin, which might suggest a moment of contemplation or a break in the action. However, the actual video content is a compilation of various women's soccer/football moments, including intense gameplay, celebrations, and even unsportsmanlike conduct. The thumbnail does not accurately represent the video's main topic or content, as it only shows a single moment and does not convey the overall theme of the compilation."
tRIfyjgntSA,
5dZcMzfGVpM,
