video_id,classification
1GYbAEGUgm0,"The thumbnail of the video is misleading. The image shows a firefighter in action, which might suggest that the video is about firefighting or emergency response. However, the actual content of the video is about a conflict or war situation in Ukraine, with scenes of explosions, damaged buildings, and political statements. The thumbnail does not accurately represent the main topic or content of the video, as it does not provide any indication of the conflict or war situation. This could potentially mislead viewers who are only looking at the thumbnail and might not expect the actual content to be about a conflict or war."
LQCQym6hVMo,"The thumbnail of the video is misleading. The image shows a woman in a bright pink outfit, but the actual content of the video is a comedic monologue by Kim Kardashian West on Saturday Night Live. The thumbnail does not accurately represent the main topic or content of the video, as it focuses on the woman's appearance rather than her performance or the context of the show."
0W8T9QKQAMA,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO3OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO33333OOOO3OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO000222222022003333333333333333333333333333300OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
IeH0mz0REi4,"ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
















ooooo







oooooooooooooooooooooooooooooooooooooooooooo
o
oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo2oo"
2qepS30_wdA,"The thumbnail of the video is misleading. The image shows a person standing on a rooftop, which is not accurately representative of the video's content. The video actually explores themes of youth, introspection, and urban life in Asia, with scenes of a bustling city, a beach, a recording studio, a streaming or gaming setup, people engaged in conversation, and more. The rooftop scene in the thumbnail does not accurately reflect the video's main topic or content."
oULoamyhycA,00000000000000000000000000000030300000000000000222222222222220022203333333333333333300000000444444444444444444------------------------------------------------00---------0------------0000000000660000000000000000000000---------------------------------000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0uftdOL3fyQ,"The thumbnail of the video is misleading. The image shows a woman speaking into a microphone, which might suggest that she is the main subject of the video. However, the actual content of the video is a news report or broadcast covering an important meeting or event, with a focus on a political or governmental meeting. The woman speaking into a microphone is just one of the many elements in the video, and her presence does not accurately represent the main topic of the video."
4p4Cs2IVSXw,"The thumbnail of the video is misleading. The image shows a man in a suit, which suggests that the video might be related to formal events or business. However, the actual content of the video is a comedic monologue by Ricky Gervais at the Golden Globe Awards. The man in the suit is not the main focus of the video, and the content is not related to formal events or business. The thumbnail is exaggerating the importance of the man in the suit and does not accurately represent the video's main topic."
w3hPbyoebZE,"The thumbnail of the video is misleading. The image shows a man and a woman in a romantic setting, but the actual content of the video is about a celebrity couple and their relationship in various settings, including public appearances and personal moments. The thumbnail's content does not accurately represent the video's main topic or content."
8KeOxeuiZjs,"The thumbnail of the video is misleading. The image shows a man holding an Oscar statuette, which suggests that the video is about the Academy Awards or a similar prestigious ceremony. However, the actual content of the video is a mix-up or mistake during the ceremony, with the wrong winner being announced. This creates a sense of confusion and drama, which is not accurately represented by the thumbnail."
