video_id,classification
7JRQ4l7eXVw,"The thumbnail of the video is misleading. The image shows a person in a white outfit, which is not accurately representative of the video's content. The video actually contains a series of unsettling and eerie scenes, including a shadowy figure, a small black creature, a person working on a wrapped or covered body, and various other disturbing images. The thumbnail's content does not align with the video's actual content, which is focused on creating an unsettling and suspenseful atmosphere."
ZmcaOfjLauI,"The thumbnail of the video is misleading. The image shows a man with a shocked expression, but he does not appear in the actual video content. The video is a compilation of various soccer match moments and referee interactions, which is not accurately represented by the thumbnail."
HQigNm2tPNU,"The thumbnail of the main video is misleading. It shows a player in an Argentina jersey, which is not representative of the actual content of the video. The video is a compilation of various soccer-related scenes and moments, highlighting dramatic, humorous, or intense situations in professional soccer matches and behind-the-scenes footage. The thumbnail's focus on a single player in an Argentina jersey does not accurately represent the diverse content of the video."
MyPeH4mo9mw,"The thumbnail is categorized as misleading because it uses a provocative and exaggerated statement (""HOW DARE YOU"" and ""YOU DESERVE IT"") and a controversial image of two men on stage, which suggests a confrontation or altercation. However, the actual video content focuses on providing a more nuanced account of the Oscar slapping incident and its aftermath, including the reactions and commentary from various sources. The thumbnail's sensationalized content does not accurately represent the video's main topic or content."
7tiWinlNTvU,"The thumbnail of the video shows a soccer player in a blue and red striped jersey, looking intently to the side. The actual video content focuses on various soccer moments and scenes, including players on the field, goal-scoring opportunities, and interactions between players. The video also features a compilation of iconic soccer moments and highlights from different matches and players.

Based on the thumbnail and the video's content, it can be concluded that the thumbnail accurately represents the video's main topic, which is soccer and its various aspects, such as players, moments, and highlights. Therefore, the thumbnail is not misleading."
7H86fq4ZEPw,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a person with a backflip, but the actual video content is a compilation of various clips, including a paraglider, a skydiver, and a person doing a backflip. The thumbnail does not accurately represent the video's main topic or content."
JMAnkCd3PAY,"The thumbnail of the video is misleading. The actual video content does not focus on Messi or Ronaldo, but rather showcases various soccer moments and matches, including on-field action, interviews, and historical footage. The thumbnail's title ""THE ULTIMATE MESSI VS. RONALDO DEBATE"" and the presence of two small images of soccer players suggest that the video is about comparing these two players, but the video itself does not primarily focus on Messi or Ronaldo."
TR85vVWguxs,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video content, showcasing various soccer moments and scenes, including intense gameplay, player injuries, and fan reactions. The thumbnail does not exaggerate or use clickbait tactics to attract viewers, and it effectively conveys the essence of the video's content."
xH00dGYaxZk,"The thumbnail of the video shows a soccer player in a blue jersey with number 9, mid-kick, attempting to score a goal against a goalkeeper in an orange uniform during what appears to be an intense match moment. The thumbnail accurately represents the content of the video, which focuses on various soccer moments and highlights, including intense gameplay, celebrations, and controversial situations. Therefore, the thumbnail is not misleading."
_n84OESThE4,"The thumbnail of the video is misleading as it shows a player in a red jersey, which is not representative of the actual content of the video. The video is a compilation of various soccer moments and gameplay footage, featuring players in different colored jerseys, such as green and blue, without any scenes of a player in a red jersey. The thumbnail's content does not accurately reflect the content of the video."
hIv5AC_8zak,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a soccer player in a white jersey, but the actual video content is a compilation of various soccer-related scenes and moments, without a specific focus on the player in the white jersey. The thumbnail's content does not accurately represent the video's main topic or content."
j8kpcFHY_VU,"The thumbnail of the video is misleading. The actual video content does not feature a provocatively dressed woman or a controversial message. Instead, the video focuses on various soccer-related scenes and moments, showcasing different aspects of the sport and its culture. The thumbnail's content does not accurately represent the video's main topic or content."
I2A1tz9ftz4,"The thumbnail of the video is misleading. The image shows a player celebrating, which is not representative of the actual content of the video. The video is a compilation of various soccer moments and gameplay footage, featuring different players and teams, without any scenes of a single player celebrating. The thumbnail's focus on a single player celebrating creates a misleading impression about the video's content."
