video_id,classification
D_VkvPRNHTg,"The thumbnail of the video is misleading. The image shows two men sitting on a couch, but the actual content of the video is a casual conversation between two soccer players from Paris Saint-Germain (PSG). The video includes various segments such as an interview format, dancing, travel discussions, and playful interactions. The thumbnail does not accurately represent the main topic or content of the video, as it only shows the two men sitting on the couch without any indication of the actual conversation or activities taking place."
kgrV3_g9rYY,"The thumbnail of the video is misleading. The image shows a cat with a very large head, which is not an accurate representation of the Pallas's cat. The actual video content features the Pallas's cat in its natural habitat, showcasing its adaptations and behaviors in a snowy, mountainous environment. The thumbnail's exaggerated depiction of the cat's head size and facial features may lead viewers to expect a different or more dramatic content than what the video actually offers."
9ZrwFJZfW5M,"The thumbnail of the video is misleading. Although the image shows a soccer player celebrating, it does not accurately represent the content of the video. The video is focused on Cristiano Ronaldo and the Portuguese national team, with highlights from a soccer match, celebratory moments, and interactions with fans and teammates. The thumbnail's focus on a single player celebrating does not accurately convey the overall theme and content of the video."
LJTqjryGp8k,"The thumbnail of the video is misleading. Although the image shows a man in a hospital bed, it does not accurately represent the content of the video. The video is actually about a health scare and subsequent medical procedure for a public figure in Brazil, specifically focusing on a heart condition. The thumbnail does not provide any context or information about the man's heart problem or the purpose of the video, which may lead viewers to have incorrect expectations about the content."
teV20eH7Xmo,"The thumbnail of the video is misleading. The image shows a fire truck, which might suggest that the video is about firefighting efforts. However, the actual content of the video is about wildfires in São Paulo, Brazil, and their impact on the environment and people. The video includes interviews with locals, officials, and firefighters, as well as footage of the fires and their aftermath. The thumbnail does not accurately represent the main topic of the video, which is the wildfires and their consequences."
PMIAnKaRJ0Y,"The thumbnail of the video is misleading. The image shows a group of people in uniforms, which might suggest a military or formal event. However, the actual content of the video is a news report covering a significant political event in Brazil, likely a presidential inauguration or similar ceremony. The video features a mix of civilian and military elements, as well as a parade, which are not accurately represented by the thumbnail. The thumbnail's content is exaggerated and clickbait-like, as it does not accurately represent the video's main topic or content."
mQtOrt6qnL4,"The thumbnail of the video is misleading. The image shows a character with spiky blonde hair and a spiral emblem, which might suggest a specific character or event from the Naruto/Boruto franchise. However, the actual content of the video is a training or sparring session between two characters in a forest setting, which is not accurately represented by the thumbnail. The thumbnail's focus on a single character and the use of a powerful technique like ""Thunderclap Arrow!"" might lead viewers to expect a more action-packed scene, but the video primarily features a training session with less intense action."
jYwRZZFwrBc,"0002222222222333333333333333333333 3 3    4. 4. 4 4.4.4. 4, 4, 1, 0 0 3.3.3.3.3.3000000000666606666600066600000022222222222223333333333333333 3 3 0 0 4 4 4 4 4 4 4 0 0 0 0 0 0, 0, 2.3.3.30333333333300000303300000000022222222222222222.33333333333333333333300000000000000000000000000000000000000000000000000000000000000000000000000000000000033333333333333333000000044444440000000000000000000000000000000000000033333333333333000000000222222222222222223233333333333333333333333000004444444444444400000000000000000000"
oC4EWup-D6g,"The thumbnail of the video is misleading. The thumbnail shows a close-up of a soccer player wearing a red and blue jersey, with the number 10 on it. This suggests that the video is focused on a specific player or team, possibly a star player. However, the actual content of the video is a compilation of various soccer matches, showcasing multiple players and teams, as well as their achievements in the UEFA Champions League. The thumbnail's focus on a single player or team is misleading, as the video actually features a broader range of players and teams."
qwUb6sICnog,"The thumbnail of the video is misleading. The image shows a close-up of the four presidents' faces on Mount Rushmore, which is not an accurate representation of the video's content. The actual video content is a tour of Mount Rushmore National Memorial and its surrounding natural environment, showcasing various angles, perspectives, and details of the monument and the landscape. The thumbnail's focus on the presidents' faces creates a misleading impression about the video's content, as it does not accurately represent the actual footage."
