video_id,classification
eDdUIP2efmo,"The thumbnail of the video is misleading as it shows a person laughing while holding a diamond, which is not related to the actual content of the video. The video is a humorous challenge or competition involving construction-related tasks, with participants using various tools and attempting to break concrete. The thumbnail's content does not accurately represent the video's main theme or content."
FLNluKfk0C4,"The thumbnail of the video is misleading. It shows a split image of a man with facial hair wearing a white top and police or federal agents carrying boxes, with a ""LAW & CRIME"" logo overlay. However, the actual video content does not seem to be related to the man or any crime. Instead, it appears to be a compilation of scenes from a documentary or reality show following the life of a public figure, possibly a famous athlete or celebrity. The thumbnail's content does not accurately represent the video's content, which is focused on the personal and professional aspects of the individual's life."
IypJ-XPa41U,"The thumbnail of the video is misleading. The image shows a man wearing a soccer jersey and a Rolex watch, which suggests that the video is about soccer and luxury watches. However, the actual content of the video is about a professional soccer player's lifestyle, including his properties, cars, and watches. The thumbnail does not accurately represent the video's main topic, which is the soccer player's luxurious lifestyle."
y3kmk0K2lJs,"The thumbnail of the video is misleading. The image shows a woman with curly red hair, which is not an accurate representation of the video's content. The video is actually about Mariah Carey, a famous singer, and her life, career, and luxurious lifestyle. The thumbnail's content does not match the actual video content, which is focused on Mariah Carey and her achievements."
1mYPypXQy9s,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail suggests that the video is about Prince Harry, but the actual content of the video is about Nostradamus and his predictions, with a focus on Prince Harry. The video does not accurately represent the main topic of the video in its thumbnail, which is a common characteristic of misleading thumbnails."
tz9nRYSoR3Q,"Based on the provided information, the thumbnail of the video is misleading. The image shows a man in a trench coat and a woman in a hijab, which do not accurately represent the content of the video. The video actually features an animated sequence of a superhero adventure in a bustling city environment, with scenes of action, confrontation, and dialogue among various characters. The thumbnail's content does not align with the actual video content, making it misleading for viewers."
FUViHbnHkZI,"The thumbnail for this video shows a woman with a cupcake in her hand, which is not an accurate representation of the video's content. The video is actually a compilation of various clips from different entertainment and celebrity-focused shows, with a ""Offensive Tea"" watermarked on many of the frames. The thumbnail is misleading, as it does not accurately represent the content of the video."
PsftgBIY8Qg,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a person wearing a baseball cap and a neon yellow detail, which is not accurately representative of the content in the video. The actual video content features a person wearing a straw cowboy hat, which is not visible in the thumbnail. This inconsistency between the thumbnail and the video content makes the thumbnail misleading."
UUGqRZgWJoM,"Based on the provided information, the thumbnail of the video is misleading. The image shows a woman with long dark hair, but the actual video content is focused on the Kardashian-West family and their daily lives. The thumbnail does not accurately represent the video's main topic or content."
RXp5W6qedIQ,"The thumbnail of the video is misleading as it shows a man in a suit and tie, which is not related to the actual content of the video. The video is about a prominent British political figure, likely a high-ranking member of the Labour Party, and it features various scenes from his public and personal life. The man in the thumbnail is not the main subject of the video, and his presence in the thumbnail is unrelated to the video's content."
VuD_Y5TAyDY,"Based on the provided information, the thumbnail of the video is misleading. The image shows a woman in a pink outfit, which is not related to the actual content of the video. The video focuses on the controversial media coverage and allegations surrounding the British royal family, particularly Princess Diana. The thumbnail does not accurately represent the video's main topic or content, making it misleading."
PFXcfUZaXsI,"Categorization: Not Misleading
Explanation: The thumbnail accurately represents the video's content, which is a tribute or documentary-style compilation focused on a renowned martial artist and actor, likely Bruce Lee. The thumbnail shows two men in conversation, which aligns with the video's content of showcasing different aspects of the subject's life, including his martial arts training, acting roles, and cultural heritage."
xY5XUMhQhQw,Categorization: Not Misleading
hqVp4YMhTB4,"The thumbnail of the video shows a young man with dark curly hair in a bright blue shirt sitting in a bathroom stall, looking surprised at a tray containing an unusual blue sandwich, a red drink bottle, and an orange. This scene does not accurately represent the main content of the video, which is a comedic series of scenes depicting various school-related situations, likely centered around a few recurring characters. Therefore, the thumbnail is misleading."
jmumXFfwqYI,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a dramatic scene of a shark leaping out of the water, which is unrelated to the actual content of the video. The video is about a group of people having fun at a water park, engaging in various activities and challenges. The thumbnail's content does not accurately represent the video's main topic or content."
JT_0OLvlesc,"The thumbnail of the video is misleading as it shows a person in a workshop setting, which is not the main focus of the video. The actual video content is a fast-paced, comedic DIY challenge video featuring a young man in various workshop and studio settings, with a mix of workshop scenes and more staged, colorful backgrounds. The video's focus is on building race cars using tiny tools and giant tools, with the participants competing against each other to create the fastest race car. The thumbnail does not accurately represent the video's main topic or content."
dZTf229MX9U,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a dramatic scene of a man with a flashlight, which suggests that the video is about a paranormal investigation or ghost hunting. However, the actual content of the video is a series of scenes from a horror or thriller movie, featuring a creepy Santa Claus figure covered in blood. The thumbnail does not accurately represent the video's content, as it does not show any paranormal activity or investigation."
zNBeVJnl5Cs,"The thumbnail of the video is misleading as it shows a picture of a soccer player with the words ""PLAYER FOCUS HARRY KANE"" on it, but the actual video content is about a compilation of various soccer-related scenes and events, showcasing the passion and drama surrounding the sport. The thumbnail does not accurately represent the video's main topic or content."
s2UEEryIGDE,"The thumbnail of the video is misleading. The image shows a woman with dark hair and makeup, wearing a white top and large hoop earrings, with ""Kim Kardashian"" and ""VOGUE"" text overlaid on the image. However, the actual video content is not about Kim Kardashian but rather a personal documentary or retrospective featuring a prominent public figure reflecting on her life and career. The thumbnail does not accurately represent the video's main topic or content."
CDo9wMTFRX8,"The thumbnail of the video is misleading. The image shows a woman with blonde hair, but the video content is focused on a different female artist, showcasing her career and public appearances. The thumbnail does not accurately represent the video's main topic or content."
VTIObhsJ4bk,"The thumbnail for the video is misleading. It shows a man in a suit, which is not representative of the actual content of the video. The video is about a dark, intense superhero-themed compilation featuring various DC Comics characters, including Batman, Superman, and Harley Quinn. The thumbnail's content does not accurately reflect the video's content, making it misleading."
40JAEwcSJpQ,"Based on the provided information, the thumbnail of the video accurately represents the main content of the video, which is about building and launching a unique ice cream or dessert product. The thumbnail features a person in a dessert-themed costume, surrounded by ice cream containers, which is a key element of the video's content. Therefore, the thumbnail is not misleading, and it can be categorized as ""Not Misleading""."
