video_id,classification
ahrkUnMRLsw,"The thumbnail of the video is not misleading. It accurately represents the main topic of the video, which is a soccer match between two teams, with players actively competing on the field. The video description also supports this, as it provides a comprehensive overview of the match, including the teams, the score, and the overall atmosphere of the event. The thumbnail's content is consistent with the video's content, and it does not use clickbait tactics or exaggeration to attract viewers. Therefore, the thumbnail is considered ""Not Misleading""."
wUoxbm9MUc0,-safeman.
dL-3iynZ-bw,"The thumbnail for this video is not misleading. It accurately represents the main topic of the video, which is a futsal tournament. The image shows players in action on the court, and the video description confirms that the content is focused on the futsal match and the excitement surrounding the sporting event. The thumbnail effectively conveys the essence of the video without resorting to clickbait tactics or exaggeration."
RQGFf_s1J9E,"The thumbnail is misleading. The image shows a man wearing a suit and tie, which might suggest a formal or professional setting. However, the actual content of the video is focused on a British politician and his inconsistencies regarding defense spending, which is a more serious and political topic. The thumbnail does not accurately represent the video's main content, as it does not convey the political nature of the discussion."
Lp5eyR9I8G0,"Based on the provided information, the thumbnail is not misleading. The thumbnail accurately represents the video content by showing a soccer player holding a soccer ball, which is relevant to the soccer match being broadcasted. The video description and subtitles also provide context about the match and the teams involved, further supporting the thumbnail's representation of the video content."
9eIjmggZ2oE,"Based on the provided information, the thumbnail of the video is misleading. The thumbnail shows a man wearing a batik shirt, which might suggest that the video is related to Indonesian culture or fashion. However, the actual content of the video is a news report or documentary covering various aspects of an event or institution in Indonesia, including healthcare, public events, and official statements or interviews. The content does not directly relate to the man in the batik shirt or Indonesian fashion, making the thumbnail misleading."
GXelqm6m1x0,
2YgXqgmRQo0,"The thumbnail for this video is not misleading. It shows a soccer player in action, which accurately represents the content of the video. The video itself is a compilation of footage and images related to an Indonesian soccer match and its aftermath. It includes on-field action, behind-the-scenes moments, and celebratory scenes, providing a comprehensive view of the match and the team's experiences. The subtitles and descriptions also accurately represent the video's content, making the thumbnail a fair representation of the video's main topic."
mIUwPazjCRw,"The thumbnail is not misleading. It accurately represents the main topic of the video, which is a weightlifting competition featuring Bambang Wijaya. The image shows the athlete lifting a barbell, which is a key element of the sport. The video description and subtitles also provide context about the competition and the athlete's achievements, further supporting the thumbnail's representation of the video content."
MqOZLJGeIsM,"The thumbnail for this video is not misleading. It accurately represents the content of the video, which is a soccer match between Saudi Arabia and Indonesia. The image shows players from both teams on the field, and the score is tied at 1-1. The video description also provides a detailed account of the match's progress, further supporting the accuracy of the thumbnail."
oM9UEN_LFEM,"Based on the provided information, the thumbnail of the YouTube video is misleading. The thumbnail shows a person holding a stack of $100 bills with the text ""I made $10,000 in one day!"" However, the actual video content is about a news report from Kompas TV, an Indonesian news channel, covering a story about negative laboratory results for suspected mpox (monkeypox) patients in Palembang, South Sumatra. The video does not relate to making money or exaggerated claims, but rather provides factual information about the mpox cases and the response from the authorities."
GH332rw1zp8,"The thumbnail for this video is not misleading. It accurately represents the main topic of the video, which is the ongoing protests and political tensions in Brazil related to a ban on a social media platform, likely Twitter (referred to as ""X"" in the captions). The image shows a large crowd of protesters in Brazil, wearing yellow and green, the colors of the Brazilian flag, which aligns with the content of the video. The captions provide context about the ongoing situation, mentioning protests, court challenges, and political reactions to the ban. Overall, the thumbnail effectively conveys the main subject of the video without using clickbait tactics or exaggeration."
znb-fpJwN3Y,S
rBoYIDWghZc,
sPG9ftaxO4c,"The thumbnail is not misleading. The image shows a group of young men playing soccer, which accurately represents the content of the video. The video description also confirms that the video is about a soccer team's training session. The thumbnail effectively conveys the main topic of the video, which is soccer training, without using exaggeration or clickbait tactics."
yjc7FEYXTaw,"The thumbnail of the video is not misleading. It accurately represents the main topic of the video, which is a formal military parade or ceremony in Indonesia. The video showcases various elements of the event, such as the impressive government building, military and official formations, and the President of Indonesia participating in the proceedings. The presence of the sign language interpreter also indicates that this is a significant national event. The video content aligns with the thumbnail's representation, making it a ""Not Misleading"" thumbnail."
f62kIb8oHE8,"The thumbnail of the YouTube video is misleading. The image shows a group of people playing sports, but the actual content of the video is a news segment covering various sports events and community activities in Indonesia. The thumbnail does not accurately represent the main topic of the video, which is news reporting rather than sports action."
438F_X7X8oc,"Based on the provided information, the thumbnail is not misleading. The image shows an older man with white hair wearing a white blazer, which is consistent with the main subject of the video. The man is speaking into a microphone, indicating that he is participating in an interview or public event. The video description also supports the content of the thumbnail, as it describes a political event or interview taking place on September 6, 2024, in Malang, featuring an older man with white hair. The subtitles further emphasize the political nature of the content. Overall, the thumbnail accurately represents the video's main topic and content."
OD2NgNq5-94,"The thumbnail of the video is not misleading. It accurately represents the video content by showing a group of men in bright yellow jerseys, which are the uniforms of the soccer team. The video itself focuses on the emotional journey of the soccer players before, during, and after a crucial match, capturing their determination, concentration, and disappointment. The thumbnail's content accurately reflects the video's main topic and does not use clickbait tactics or exaggeration to attract viewers."
CJGnbp06IaU,"The thumbnail is misleading. The image shows Pope Francis in a wheelchair, which is not an accurate representation of the video content. In reality, the video shows the Pope standing and being assisted by a lift vehicle upon his arrival in Indonesia. The thumbnail's depiction of the Pope in a wheelchair might lead viewers to expect a different scene or story, which is not the case in the actual video."
6DcT6qwCBIg,"Based on the provided information, the thumbnail of the YouTube video is not misleading. The thumbnail accurately represents the main topic of the video, which is a political event in Jakarta, Indonesia. The image shows a crowd of people, including a political figure, and the presence of a karaoke event. The video description and subtitles also provide context about the event and the political figure, further supporting the accuracy of the thumbnail. Therefore, the thumbnail is considered ""Not Misleading""."
XWnwYcH8THg,"The thumbnail of the video is not misleading. It accurately represents the content of the video, which is a behind-the-scenes look at a professional soccer team's locker room. The coach is giving instructions and guidance to the players, and the video captures the emotional journey and interactions between the coach and the team members. The thumbnail shows a coach giving instructions, which is a key aspect of the video's content."
