video_id,classification
NniHBZVshyY,"The thumbnail of the video is misleading. The image shows a large building collapsing, which gives the impression that the video is about a building collapse. However, the actual content of the video is about an earthquake or seismic event, with various locations experiencing the effects of the disaster. The thumbnail exaggerates the situation by focusing on a single, dramatic moment of a building collapsing, which is not representative of the overall content of the video."
gnSI8oD11us,"The thumbnail of the YouTube video is misleading. The image shows a close-up of a smiling face, which might suggest a lighthearted or positive video. However, the actual content of the video is a series of animated scenes depicting a darker side of friendship, with one character transforming into a screaming or void-like figure. This contrast between the thumbnail and the video's content is significant, as it creates a misleading impression about the video's content."
SH8SDdxstco,"The thumbnail of the video is misleading. The image shows a soccer player with a ball, which suggests that the video is about soccer. However, the actual content of the video is a compilation of various moments from professional soccer matches, including celebrations, intense on-field action, and interactions with fans. The thumbnail does not accurately represent the main topic or content of the video."
Lra2N5CsyDA,"The thumbnail of the video is misleading as it shows a lion and a zebra, but the actual video content is a compilation of various wildlife interactions, including different animals and their behaviors. The video does not focus on lions and zebras, but rather showcases a diverse array of animal interactions and habitats from around the world."
i6_OomloWUg,"The thumbnail of the YouTube video is misleading. The thumbnail shows a man with his mouth open, which might suggest that the video is about someone making a loud noise or having an intense conversation. However, the actual content of the video is a comedic skit with various scenes, including exaggerated reactions, physical comedy, and demonstrations or pranks. The thumbnail does not accurately represent the video's main topic or content, and it uses clickbait tactics to attract viewers."
lp_26Ec4I1I,"The thumbnail of the video is misleading. The image shows a man and a woman, but it does not accurately represent the content of the video, which is about a Bollywood wedding. The thumbnail does not provide any information about the wedding or the couple, and it does not represent the actual content of the video. The video is about a wedding in the Bollywood film industry, and it features interviews with celebrities, images of wedding jewelry and gifts, and details about the couple's wedding date and venue."
qUL0EyCRAgM,"The thumbnail of the video is misleading. The image shows a woman with her mouth open, which might suggest that she is screaming or reacting to something unexpected. However, the actual content of the video consists of various mishaps, accidents, and humorous situations, which do not necessarily involve the woman with her mouth open. The thumbnail's focus on the woman's reaction might be misleading to viewers, as it does not accurately represent the video's main topic or content."
lDeaUlsuV-8,"The thumbnail of the video is misleading. The image shows a woman in a pink outfit, which might suggest that she is the main character or the focus of the drama. However, the actual video content reveals that the drama revolves around a family and their conflicts, with multiple characters and storylines. The thumbnail does not accurately represent the main topic or content of the video, making it misleading."
x4fF7lMFdiQ,"The thumbnail of the video shows a statue with its eyes open, suggesting a mysterious or supernatural theme. The video's subtitles and content description indicate that it explores various religious and spiritual themes, including moving statues, mysterious moving statues, and religious figures. The video features a mix of real footage, animations, and illustrations, which further supports the idea that it is a documentary-style exploration of these topics. Based on the provided information, the thumbnail accurately represents the video's main topic. Therefore, the thumbnail is not misleading."
fDANmSPL4Js,"The thumbnail of the video is misleading. The image shows a person standing next to a large bone, which suggests that the video is about human interaction with the bone. However, the actual content of the video is about paleontology and marine biology, focusing on explaining scientific concepts related to prehistoric marine reptiles and recent paleontological discoveries. The thumbnail does not accurately represent the main topic of the video."
