video_id,classification
7JRQ4l7eXVw,telling.
ZmcaOfjLauI,"The thumbnail of the video is misleading. The image shows a man with his mouth open, which might suggest that he is yelling or making an intense face. However, the actual content of the video is a compilation of various moments and incidents from football matches, including players celebrating, arguing, and making different facial expressions. The thumbnail does not accurately represent the main topic or content of the video."
HQigNm2tPNU,"The thumbnail of the video is misleading. The thumbnail shows a man holding a cell phone, which suggests that the video might be about using a cell phone or showcasing a particular app or feature. However, the actual content of the video is a compilation of various soccer-related scenes and moments, including on-field action, behind-the-scenes footage, and instances of high emotion or drama. The thumbnail does not accurately represent the video's main topic or content, as it does not provide any indication of the soccer-related scenes and moments that are actually present in the video."
MyPeH4mo9mw,"The thumbnail is misleading. The image shows a man in a tuxedo, which suggests that the video is about a formal event or a celebration. However, the actual content of the video revolves around a controversial incident involving two prominent actors at the 2022 Academy Awards ceremony. The video also includes behind-the-scenes footage, interviews, and social media reactions to the incident. The thumbnail does not accurately represent the video's main topic or content, as it focuses on a different aspect of the event."
7tiWinlNTvU,"Based on the provided information, the thumbnail of the video is misleading. The image shows a player with a beard and a number 7 jersey, which suggests that the video is about a soccer player. However, the actual content of the video is a compilation of various soccer moments and scenes, showcasing different aspects of the sport. The thumbnail does not accurately represent the main topic or content of the video."
7H86fq4ZEPw,"cant see
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking
talking."
JMAnkCd3PAY,"The video thumbnail is misleading as it shows a soccer player celebrating a goal, but the actual video content is a compilation of various soccer-related scenes and moments, covering different aspects of the sport from matches to interviews and historical footage. The thumbnail is not an accurate representation of the video's main topic or content."
TR85vVWguxs,"The thumbnail of the video is misleading. The image shows a shirtless man with a tattooed arm, which might suggest a more intense or action-packed scene. However, the actual content of the video is a compilation of various soccer/football moments and scenes, including players in different uniforms, a crowded stadium, and a medical team attending to an injured player. The thumbnail does not accurately represent the main topic or content of the video, as it focuses on a single moment and does not convey the overall theme of the compilation."
xH00dGYaxZk,"The thumbnail of the video is misleading as it shows a soccer player celebrating a goal, but the actual video content is a compilation of various soccer moments and incidents, showcasing the intensity, excitement, and sometimes chaotic nature of the sport. The video captures a wide range of emotions and actions in soccer, from intense competition to celebrations, controversies, and unexpected interruptions. The compilation effectively captures the passion, drama, and sometimes absurd moments that make the sport so captivating to fans worldwide."
_n84OESThE4,"The thumbnail of the video is misleading. The image shows a man wearing a blue jersey, which suggests that the video is about soccer. However, the actual content of the video is a compilation of various soccer-related scenes and moments, showcasing different aspects of the sport. The thumbnail does not accurately represent the video's main topic or content."
