video_id,classification
k7dfgOh3AE4,
r8GGcOTaX0A,"The video's thumbnail shows a woman with red eyes, possibly indicating that she is possessed or under the influence of something or someone. The video's title suggests that the woman is being controlled by an evil twin. The video's description implies that the woman is being controlled by an evil twin, and the video's thumbnail shows her looking up at something or someone. The video's title suggests that the woman is being controlled by an evil twin. The video's description implies that the woman is being influenced by something or someone. The video's thumbnail shows a woman with red eyes, possibly indicating that she is being controlled by an evil twin. The video's title suggests that the woman is being influenced by something or someone. The video's thumbnail shows a woman with red eyes, possibly indicating that she's eyes, possibly indicating that she's eyes, possibly indicating that she's eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly indicating that she's eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly indicating that she's eyes, possibly indicating that she's eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly indicating that she's eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly eyes, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly, possibly,
."
p9rYqicga20,telling.
omEdhW-n0qc,"Based on the provided information, the thumbnail of the YouTube video is misleading. The thumbnail shows a man holding a gold bar, which suggests that the video is about finding or discovering valuable items, such as gold or diamonds. However, the actual content of the video is a comedic skit or prank involving two young men and various objects, including fake gold bars, a cat, and a diamond. The video does not depict any real discovery of valuable items, and the thumbnail's content is not accurately represented in the video. Therefore, the thumbnail is misleading."
AQa3u2JcJho,Sens
4Ysfya6XYjk,"Based on the provided information, the thumbnail for the YouTube video is likely to be misleading. The thumbnail shows a person holding a small animal, possibly a rabbit or kitten, which might be an exaggeration or clickbait tactic to attract viewers. However, the actual content of the video does not seem to be related to the small animal. Instead, the video appears to be a lively and energetic compilation showcasing various moments and activities, possibly involving a family or group of friends."
KDP74u_-mgw,"Based on the provided information, the thumbnail of the YouTube video is misleading. The thumbnail shows a man holding a microphone, which might suggest that the video is about a talk show, interview, or a live event. However, the actual content of the video is a compilation of various scenes from Indian entertainment shows and events, focusing on dramatic or tense moments between celebrities or industry figures. The thumbnail does not accurately represent the video's main topic or content, using clickbait tactics to attract viewers. Therefore, the thumbnail is misleading."
7jZ7-kFWAQY,"oooooooooooooooooooooooooooooooo0o0ooooooooooooooooooooooooooooooooooooo
ooooo
o
ooo
ooooooooooooooooooooooooooooooooooooooooooooooo0o0oo0o0oooooooooooooooooooooooooooo0o000o0o0000o0o00oo
o
o
0
o
0
0
0
0
0
0
0o
0o0000
0
0o0oooooooooooooooooo
o.o.o.
o.







0.
0
0
o
o
o
o
oo
o
o

o"
QfMf80VUw2Y,"oo.ooooo.tooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo0o00o0000000000000o0o0000o0o0o
o
o







toooo0o0ooo0o
ooooooooooooooo000000o0ooooooooooooooooooooooooooooooooooooo0oooooooooooooooooooooooooooooooo.oo.o.o.oo.o.o.oooo.oooooooooooooooooooooo
o.0o.0.0oo00000o0o000
0
0
0
0
0000000000"
mQe0SkiJg5U,
NVP7MAOdKf0,
1wj3Ba6-dzg,"Based on the provided information, the thumbnail of the YouTube video is misleading. The image shows a woman holding a dog, but the actual content of the video is about a couple and their dog, with a man and a woman in the scene. The thumbnail's focus on the woman holding the dog is not representative of the video's main topic. The video's content revolves around the couple and their dog, rather than the woman holding the dog."
A-5hDBvJUjQ,"Based on the provided information, the thumbnail of the YouTube video is not misleading. The image shows a person holding a Lego Titanic, which accurately represents the main topic of the video. The video's subtitles and content description also align with the actual content of the video, which is about building a Lego Titanic model. Therefore, the thumbnail is not misleading and can be categorized as ""Not Misleading""."
