video_id,classification
QWuXUVlmTO8,
561BRxPJetA,
bqh-xl0LizI,0.0.0o
MyPeH4mo9mw,"The thumbnail is misleading. The image shows a man in a tuxedo, which suggests that the video is about a formal event or a celebration. However, the actual content of the video revolves around a controversial incident involving two prominent actors at the 2022 Academy Awards ceremony. The video also includes behind-the-scenes footage, interviews, and social media reactions to the incident. The thumbnail does not accurately represent the video's main topic or content, as it focuses on a different aspect of the event."
Y4uTw3NUxYE,"The video thumbnail shows a woman with puffy cheeks, which suggests that she has had filler injections. The video is titled ""Kylie Jenner's face puffed up"". The video is about Kylie Jenner and her appearance, which has been described as ""puffy"" and ""overfilled"". The video is likely discussing the topic of Kylie Jenner's appearance and the filler injections."
UrHR9IrJftk,"The thumbnail for the video is misleading. The image shows a woman smiling, but the video's content is not focused on her or her relationship with a man. Instead, the video is a compilation of scenes and social media posts related to two young actors who are co-stars in a Spider-Man film franchise. The video chronicles their relationship and interactions over time, both on and off screen, and showcases their careers and public interest in their lives. The thumbnail's content does not accurately represent the video's main topic or content."
xcukC48nKv8,"t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t



t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t




t




c



c
c



c
c






t
t
t
t
t
t
t
t
t
t
t
to
t
to
o
t
t
c
c
c
c
c
c
c
c
t
t
t
t












t
t

t
c



t
t









c
c







t













t
t

o
o
o




o
o
o
o"
znq_KaV1fdg,s.
TEKNcxnHuA8,"The video thumbnail is misleading. The image shows a man in a cowboy hat, which might suggest that the video is about cowboys or a western-themed show. However, the actual content of the video is about the TV show ""Yellowstone"" and its behind-the-scenes events, including the departure of Kevin Costner and the show's schedule. The thumbnail does not accurately represent the main topic of the video."
vgnMn5VM0YY,S
OgxyySvmYtQ,"The thumbnail of the video is a picture of a woman, which might be misleading as it does not accurately represent the content of the video. The video is a compilation of various scenes featuring a young woman with blonde hair, showcasing her public life, personality, and career. The video includes different settings, such as outdoor, indoor, and formal events, as well as social media interactions. The compilation is upbeat and celebratory, focusing on the woman's achievements and public image. Therefore, the thumbnail is misleading as it does not represent the actual content of the video."
HV9z9w6CxvM,"The thumbnail of the video is misleading as it shows a picture of a young man and woman, but the actual video content is about the Spider-Man movie and its stars. The video features interviews, promotional materials, and behind-the-scenes footage related to the movie and its stars. The video does not focus on the romantic relationship between the two individuals in the thumbnail."
