video_id,classification
ahrkUnMRLsw,"The thumbnail of the video is misleading. The thumbnail shows a group of people celebrating, which might suggest a victory or a significant achievement. However, the actual content of the video is a soccer match between Jordan and Indonesia, with Indonesia winning 4-1. The thumbnail does not accurately represent the main topic or content of the video, as it focuses on a different aspect of the event."
wUoxbm9MUc0,"- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my God.
- Oh, my god.
- Oh, my god.
- my god.
- Oh, my god.
- Oh, my god.
- Oh, my god.
- my god.
- my god."
dL-3iynZ-bw,"The thumbnail of the video is misleading. The thumbnail shows a group of people playing soccer, but the actual content of the video is a futsal tournament, which is a different sport. The thumbnail's misleading nature is likely to attract viewers who are interested in soccer, but the video is actually about futsal."
RQGFf_s1J9E,"The thumbnail of the video is misleading. The image shows a man wearing a suit and tie, which might suggest a formal or professional setting. However, the actual content of the video is focused on a British politician and his inconsistencies regarding defense spending, which is a more serious and political topic. The thumbnail does not accurately represent the video's main content, as it does not provide any context or hint about the political nature of the video."
Lp5eyR9I8G0,"The thumbnail of the video is misleading. The thumbnail shows a soccer player holding a soccer ball, which suggests that the video is about soccer. However, the actual content of the video is a broadcast of a soccer match between Persela Lamongan and Deltras FC in Indonesia. The video does not focus on soccer players holding a ball, but rather on the players, lineups, and the match itself. The thumbnail's content does not accurately represent the video's main topic or content, making it misleading."
9eIjmggZ2oE,"The thumbnail of the video is misleading. The actual content of the video is a news report or documentary covering various aspects of an event or institution in Indonesia. The thumbnail suggests that the video is about a man wearing a batik shirt, which is not the main focus of the video. The video features a panel discussion, medical staff at work, and an audience wearing face masks, among other topics. The thumbnail's content does not accurately represent the video's main topic or content."
GXelqm6m1x0,
2YgXqgmRQo0,"The thumbnail of the video is misleading. The image shows a soccer player in action, but the actual content of the video is a compilation of footage and images related to an Indonesian soccer match and its aftermath. The video includes interviews, celebratory scenes, and training footage, but the thumbnail does not accurately represent the video's main topic or content. The thumbnail may use exaggeration or clickbait tactics to attract viewers, but it does not accurately depict the video's content."
mIUwPazjCRw,"The thumbnail of the video is misleading. The image shows a man lifting a barbell, which might suggest that the video is about weightlifting or fitness. However, the actual content of the video is a news segment covering a weightlifting competition at the PON XXI event in Aceh-Sumut, Indonesia in 2024. The video focuses on the success of the Aceh athlete, Bambang Wijaya, who won a gold medal in the 81 kg category. The thumbnail does not accurately represent the main topic or content of the video, as it does not show the competition or the athlete's achievement."
MqOZLJGeIsM,"The thumbnail of the video is misleading. The image shows a man in a red shirt holding a trophy, which suggests that the video is about a winner or a significant achievement. However, the actual content of the video is a soccer match between Saudi Arabia and Indonesia, with no indication of a trophy or a winner. The thumbnail's content does not accurately represent the video's main topic or content, making it misleading."
