video_id,classification
LtC4I9tKVMs,"The thumbnail of the video is misleading. The thumbnail shows a large explosion, which is not the main focus of the video. The actual content of the video is a military operation, with scenes of helicopters flying over a hilly, forested landscape, targeting systems, and explosions. The thumbnail's focus on a single explosion does not accurately represent the video's content, as it does not convey the broader context of the military operation."
25N0R1KnXVs,".
...................
.
................
."
sGxw7ipTrq8,"The thumbnail of the video is misleading. The thumbnail shows a person riding a bicycle next to a cow, which suggests that the main focus of the video is a bicycle ride with a cow nearby. However, the actual content of the video is a compilation of various short TikTok clips showcasing different scenes and situations, including animals, people, and humorous moments. The cow and the bicycle are just a part of the diverse content in the video, and the thumbnail does not accurately represent the video's main topic or content."
53q2qMvJjxQ,"The thumbnail of the video is misleading. The image shows a man with a shaved head and a muscular build, which gives the impression that the video is focused on him. However, the actual content of the video is a compilation of various sports and athletic activities, showcasing different people and environments related to athletics and entertainment. The thumbnail does not accurately represent the main topic or content of the video."
WHjITn_bFuM,"The thumbnail of the YouTube video is misleading. The image shows a toothbrush being used with a drill press, which is not an accurate representation of the video's content. The video actually contains various DIY and home improvement techniques, including using different tools and demonstrating proper handling and usage. The toothbrush and drill press combination in the thumbnail is not a part of the video's content and may lead to confusion or misinterpretation of the video's purpose."
G0cF0fZgkDo,"The thumbnail of the video is misleading as it shows a person in a yellow shirt, but the actual video content does not feature a person in a yellow shirt. The video is a compilation of various accident, mishap, and unusual incident scenes, which are not accurately represented by the thumbnail. The thumbnail uses exaggeration and clickbait tactics to attract viewers, making it misleading."
23ZHK6lvsHs,"The thumbnail of the video is misleading. The image shows a soccer player with a headband, which might suggest that the video is about soccer or sports. However, the actual content of the video is about controversial moments in professional soccer matches, including arguments, fights, and intense exchanges between players and referees. The thumbnail does not accurately represent the video's main topic, which is the dramatic and intense moments in soccer matches rather than a specific player or team."
XxMmWxwt14M,tell that you'reat that you'reat that you'reat that you'reat that you'reat that you'reat that you'reat that you'reat that you'reat.
kmAWR8an6Fk,
3zrLm_N2tnU,"The thumbnail of the video is misleading. The actual content of the video is a compilation of various moments and incidents from football matches, including players on the field, discussions, confrontations, and injuries. The thumbnail, however, shows a player being shown a yellow card, which is a misleading representation of the video's content. The video does not focus solely on a single incident but rather presents a diverse range of events from different football matches."
6qpXk-6kgxM,"The thumbnail of the video is misleading. The image shows a person holding a can of energy drink, which might suggest that the video is about energy drinks or related topics. However, the actual content of the video is a comedic demonstration or ""magic trick"" involving various drinks and objects, performed by someone wearing a Cleveland/Ohio State sweatshirt. The video does not focus on energy drinks or related topics, but rather on a humorous and entertaining performance. The thumbnail's content does not accurately represent the video's main topic or content, making it misleading."
G-Gv94bQaS0,"The thumbnail of the video is misleading. The image shows a soccer player celebrating on the field, which might suggest that the video is focused on a single moment of celebration. However, the actual video content is a compilation of various scenes featuring the player's journey with Real Madrid and the Brazilian national team. The thumbnail does not accurately represent the video's main topic or content, as it does not convey the range of emotions, gameplay situations, and the overall narrative of the player's progress and achievements."
fxa_BO3XpE0,"The thumbnail of the video is misleading. Although the thumbnail shows a player with a bloody head, the actual content of the video is a compilation of exciting soccer moments featuring a prominent French player. The thumbnail's focus on the bloody head is an exaggeration and clickbait tactic, which is not accurately representing the video's main topic or content."
CY-6vZd6iR0,"The thumbnail of the YouTube video is misleading. The thumbnail shows a soccer player heading the ball, which is a common and exciting moment in soccer games. However, the actual content of the video is a compilation of various soccer/football moments, showcasing different skills, plays, and humorous situations on the pitch. The thumbnail's focus on heading the ball might lead viewers to expect a video primarily focused on heading the ball, but the video actually contains a diverse range of soccer moments."
8ItvSeKbPUo,"The video compilation shows various soccer-related scenes and moments, including players in action, interviews, and training exercises. The video features players from different teams and leagues, such as Manchester City and D.C. United. There are also moments of players celebrating, as well as instances of controversial or unusual events, like a player being suspended for betting rule breaches. The video provides a comprehensive look at various aspects of soccer from different leagues and teams."
6ByB00sweDk,
04OAZ-NBXkk,"The thumbnail of the video is misleading. The image shows a man with a headset, which might suggest that the video is about a gaming or streaming session. However, the actual content of the video is a reaction or commentary on social media posts and images related to soccer/football, particularly focusing on Real Madrid and its players. The man in the video is not actively engaged in a gaming or streaming session but is instead discussing and reacting to various social media posts and images."
Sf5yOKjxggA,"The thumbnail of the video is misleading. The image shows a man in a yellow shirt, which might suggest that the video is focused on a soccer match or a sports event. However, the actual content of the video is a compilation of various moments from different soccer matches, referee interactions, and players' reactions. The thumbnail does not accurately represent the video's main topic or content, as it only shows a single moment from one of the matches. This could lead to viewers expecting a soccer match or sports event, but instead, they will find a compilation of different moments from various matches."
eZ_u6fIPzb4,"The thumbnail of the video is misleading as it shows a football player getting injured, which is not the main topic of the video. The actual video content is a compilation of various football-related scenes, including medical emergencies, safety concerns, and game action. The video does not focus solely on injuries but rather provides a broader perspective on the sport. Therefore, the thumbnail is misleading as it does not accurately represent the video's content."
3wKm3087UHs,"The thumbnail of the video is misleading. The thumbnail shows a man pointing at another man, which might suggest a confrontation or argument between the two individuals. However, the actual content of the video is a compilation of various amusing and unusual moments from professional soccer matches and related events. The video does not primarily focus on confrontations or arguments but rather showcases entertaining and dramatic aspects of the sport. The thumbnail's content does not accurately represent the video's main topic or content, making it misleading."
LtOya4_iND0,convincer.
SKQTtsGOT7M,"The thumbnail of the video is misleading as it shows a group of people gathered together, but the actual content of the video is a game being played by the group. The video shows a group of young people engaged in a game, with some of them holding a board game or a book, while others are interacting with each other. The scene appears to be casual and friendly, with the participants enjoying their time together."
